update,total_step,policy_loss,value_loss,entropy,approx_kl
1,2048,0.011491309618577361,980.4601440429688,-2.3258190751075745,0.03298672288656235
2,4096,0.008462089579552412,1186.102897644043,-2.610047310590744,0.026473097503185272
3,6144,0.052704519825056195,290.09936141967773,-2.8941746950149536,0.024372506886720657
4,8192,0.016295491717755795,168.95179176330566,-3.17885684967041,0.02262730710208416
5,10240,0.03421945602167398,92.13099527359009,-3.464008927345276,0.04849801957607269
6,12288,0.02170060551725328,58.18787956237793,-3.748301461338997,0.05180516093969345
7,14336,-0.003994788508862257,15.470390439033508,-4.031817555427551,0.028261493891477585
8,16384,0.04558906238526106,7.708309173583984,-4.316432952880859,0.022638384252786636
9,18432,0.0002835341729223728,3.3251920342445374,-4.600778639316559,0.020711282268166542
10,20480,0.03576448239618912,3.125197809189558,-4.8854415118694305,0.04202789068222046
11,22528,-0.04012228036299348,1.6505267024040222,-5.169606387615204,0.02511586993932724
12,24576,0.024526819121092558,0.6233720108866692,-5.454647898674011,0.16733063757419586
13,26624,-0.014312900369986892,0.5940125696361065,-5.737933576107025,0.039659351110458374
14,28672,-0.015079482458531857,0.046138736652210355,-6.022518217563629,0.02128874883055687
15,28800,-0.16439214845498404,0.014925649079183737,-6.3066487312316895,0.030019134283065796
