candidate_id,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,seed,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,path_fraction
0,0.0,0.0,0.8672991957211041,0.004322916666666646,0,0.9505000002619868,1.0359482571499024,0.9433702870249968,1.0359482571499024,42,0.7,0.7,0.0,optimiser_candidate,70.0,
1,0.0,0.0,0.88042365758457,0.0021874999999999876,0,0.950500000380266,1.0360481462295112,0.944527466974263,1.0360481462295112,42,0.7,0.7421052631578947,0.0,optimiser_candidate,72.10526315789474,
2,0.0,0.0,0.8964987680067955,0.001145833333333326,0,0.950500000480833,1.036147891187061,0.9456779521074544,1.036147891187061,42,0.7,0.7842105263157895,0.0,optimiser_candidate,74.21052631578948,
20,0.0,0.0,0.8766845472819565,0.004166666666666647,0,0.9505000002981908,1.0350027651967113,0.9436152036893696,1.0350027651967113,42,0.7421052631578947,0.7,0.0,optimiser_candidate,72.10526315789474,
21,0.0,0.0,0.8902268581893389,0.0019791666666666547,0,0.9505000003305364,1.0350881540598889,0.9447752034856988,1.0350881540598889,42,0.7421052631578947,0.7421052631578947,0.0,optimiser_candidate,74.21052631578947,
40,0.0,0.0,0.8872952435369119,0.0034374999999999835,0,0.9505000003503368,1.0340542280869172,0.9438649400980302,1.0340542280869172,42,0.7842105263157895,0.7,0.0,optimiser_candidate,74.21052631578948,
400,0.0,0.0,0.8385926296947391,0.002135416666666655,0,0.95050000019883,1.037139576159691,0.9445635345493674,1.037139576159691,42,0.7,0.7,0.25,optimiser_candidate,70.5,
401,0.0,0.0,0.8544805455588491,0.0010937499999999932,0,0.9505000003117348,1.0372391370700402,0.9457326930060318,1.0372391370700402,42,0.7,0.7421052631578947,0.25,optimiser_candidate,72.60526315789474,
420,0.0,0.0,0.847550557203795,0.0018749999999999887,0,0.9505000003335417,1.0360985777950116,0.944796381689242,1.0360985777950116,42,0.7421052631578947,0.7,0.25,optimiser_candidate,72.60526315789474,
421,0.0,0.0,0.8638233435639071,0.0009895833333333271,0,0.950500000397338,1.036183205090333,0.9459659878802238,1.036183205090333,42,0.7421052631578947,0.7421052631578947,0.25,optimiser_candidate,74.71052631578947,
440,0.0,0.0,0.8575777859212487,0.0015104166666666573,0,0.9505000004852276,1.0350520981271227,0.9450309668989264,1.0350520981271227,42,0.7842105263157895,0.7,0.25,optimiser_candidate,74.71052631578948,
800,0.0,0.0,0.837094371408376,0.0010416666666666601,0,0.9505000004281452,1.0382571147204296,0.9457282442406146,1.0382571147204296,42,0.7,0.7,0.5,optimiser_candidate,71.0,
801,0.0,0.0,0.8556481942852714,0.000468749999999997,0,0.9505000003652588,1.0383417015523035,0.9468910959658232,1.0383417015523035,42,0.7,0.7421052631578947,0.5,optimiser_candidate,73.10526315789474,
820,0.0,0.0,0.845460791236581,0.000885416666666661,0,0.9505000006142608,1.0371425046694351,0.9459507889446503,1.0371425046694351,42,0.7421052631578947,0.7,0.5,optimiser_candidate,73.10526315789474,
1200,0.0,0.0,0.8642275004785804,0.000416666666666664,0,0.9505000005818136,1.0393484477067931,0.9469047425323056,1.0393484477067931,42,0.7,0.7,0.75,optimiser_candidate,71.5,
1201,0.0,0.0,0.8855361206621847,0.000156249999999999,0,0.950500001237328,1.0394575643971975,0.9480610962002406,1.0394575643971975,42,0.7,0.7421052631578947,0.75,optimiser_candidate,73.60526315789474,
1220,0.0,0.0,0.8719151353167578,0.000416666666666664,0,0.9505000004444072,1.0381333729729996,0.9471195155565816,1.0381333729729996,42,0.7421052631578947,0.7,0.75,optimiser_candidate,73.60526315789474,
1600,0.0,0.0,0.9156434112905345,0.000208333333333332,0,0.9505000011322892,1.0406612269488689,0.9480145564872255,1.0406612269488689,42,0.7,0.7,1.0,optimiser_candidate,72.0,
1601,0.0,0.0,0.9400056260512274,0.000156249999999999,0,0.9505000005439288,1.0407492049767093,0.9491967363381308,1.0407492049767093,42,0.7,0.7421052631578947,1.0,optimiser_candidate,74.10526315789474,
1620,0.0,0.0,0.9220029855284365,0.000156249999999999,0,0.95050000100697,1.039362622526051,0.948219377490436,1.039362622526051,42,0.7421052631578947,0.7,1.0,optimiser_candidate,74.10526315789474,
2000,0.0,0.0,0.8672991957211041,0.004322916666666646,0,0.9505000002619868,1.0359482571499024,0.9433702870249968,1.0359482571499024,42,0.7,0.7,0.0,risk_path,70.0,0.0
2001,0.0,0.0,0.8860518161274706,0.001354166666666658,0,0.9505000005529652,1.0351940408329017,0.9453380931828914,1.0351940408329017,42,0.75,0.75,0.0625,risk_path,75.125,0.0625
2002,0.0,0.0,0.9149786270346086,0.000416666666666664,0,0.950500000643108,1.0343230955198046,0.9473062373408766,1.0343230955198046,42,0.7999999999999999,0.7999999999999999,0.125,risk_path,80.25,0.125
