actor_losses,value_losses,entropy
0.05865928437560797,267.67918586730957,-2.323928326368332
0.020083242910914123,183.3237819671631,-2.609495908021927
0.013781686080619693,101.32398414611816,-2.8949411511421204
0.008024490205571055,52.318222761154175,-3.179218977689743
0.0020462889224290848,53.91420793533325,-3.4627929031848907
0.016227886779233813,22.847022891044617,-3.7469756305217743
0.0234939178917557,19.444710612297058,-4.03147953748703
0.017249596887268126,24.468065977096558,-4.315898776054382
0.014083453454077244,22.824094772338867,-4.599460124969482
0.013905167579650879,32.80541753768921,-4.884053707122803
0.0293535809032619,7.251726984977722,-5.168296694755554
0.03405281144659966,3.8751450031995773,-5.45330148935318
0.030294200056232512,2.4056187123060226,-5.737706959247589
0.0331927181687206,2.3003760054707527,-6.02200186252594
0.02819056808948517,2.5234732627868652,-6.306468486785889
