scenario_index,day_index,t0,capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar,candidate_id
6,137,13152,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
6,137,13152,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
6,137,13152,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
7,147,14112,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
7,147,14112,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
7,147,14112,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
7,147,14112,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
7,147,14112,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
7,147,14112,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
7,147,14112,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
7,147,14112,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
7,147,14112,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
8,159,15264,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
8,159,15264,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
8,159,15264,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
8,159,15264,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
8,159,15264,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
8,159,15264,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
