lower_candidate_id,upper_candidate_id,paired_converged_days,mean_lower_loss_mwh,mean_upper_loss_mwh,mean_upper_minus_lower_loss_mwh,maximum_positive_increase_mwh,maximum_relative_increase,days_exceeding_tolerance,nonincreasing_within_tolerance
0,1,5,1.0214023096521454,1.0199970277426558,-0.0014052819094897196,0.0,0.0,0,True
1,2,6,1.058490061190757,0.8254346684626469,-0.23305539272811013,0.0,0.0,0,True
2,3,26,1.3480336551119085,1.238365191655946,-0.10966846345596254,0.0,0.0,0,True
3,4,39,1.529894694357761,1.5266293180078947,-0.003265376349865872,0.0,0.0,0,True
4,5,39,1.5266293180078947,1.4964883739141028,-0.03014094409379197,0.0005259365746643763,0.0003323953507497614,0,True
5,6,39,1.4964883739141028,1.4961155370235741,-0.000372836890528543,0.00016337865354554282,6.724474704549555e-05,0,True
6,7,39,1.4961155370235741,1.496225361120589,0.00010982409701476,0.0004631812558999471,0.00019848830433980564,0,True
7,8,39,1.496225361120589,1.4962348220249622,9.460904372784234e-06,9.936871959537186e-05,6.178864219344717e-05,0,True
