update,total_step,policy_loss,reward_value_loss,under_value_loss,over_value_loss,entropy,approx_kl,group_weight_g0,cvar_g0_under,lambda_g0_under,history_n_g0_under,cvar_g0_over,lambda_g0_over,history_n_g0_over,group_weight_g1,cvar_g1_under,lambda_g1_under,history_n_g1_under,cvar_g1_over,lambda_g1_over,history_n_g1_over,group_weight_g2,cvar_g2_under,lambda_g2_under,history_n_g2_under,cvar_g2_over,lambda_g2_over,history_n_g2_over,group_weight_g3,cvar_g3_under,lambda_g3_under,history_n_g3_under,cvar_g3_over,lambda_g3_over,history_n_g3_over,group_weight_g4,cvar_g4_under,lambda_g4_under,history_n_g4_under,cvar_g4_over,lambda_g4_over,history_n_g4_over,group_weight_g5,cvar_g5_under,lambda_g5_under,history_n_g5_under,cvar_g5_over,lambda_g5_over,history_n_g5_over,group_weight_g6,cvar_g6_under,lambda_g6_under,history_n_g6_under,cvar_g6_over,lambda_g6_over,history_n_g6_over,group_weight_g7,cvar_g7_under,lambda_g7_under,history_n_g7_under,cvar_g7_over,lambda_g7_over,history_n_g7_over
1,2048,1.3262445777654648,0.13118696678429842,0.005339199058653321,0.00456522214517463,-2.3240336179733276,0.08557100594043732,0.12371864935086165,0.05370365766601615,3.4351828833008073,3,0.0537977030884067,3.439885154420335,3,0.12624288881313878,0.048063638681227316,3.153181934061366,3,0.05753666153849313,3.6268330769246564,3,0.12624288881313878,0.08033551112943571,4.766775556471785,3,0.07320347287495554,4.410173643747777,3,0.11882401777030557,0.02155660265687198,1.8278301328435989,3,0.05138063966525164,3.319031983262582,3,0.12624288881313878,0.09805656483193281,5.65282824159664,2,0.07316642194373357,4.408321097186678,2,0.12624288881313878,0.039273029160026285,2.7136514580013142,2,0.07470458764620624,4.485229382310312,2,0.12624288881313878,0.094827547934617,5.49137739673085,3,0.08750596015767753,5.125298007883877,3,0.12624288881313878,0.07594887139416306,4.547443569708153,2,0.07502441775625002,4.501220887812501,2
2,4096,-0.01094595342874527,0.09076975472271442,0.0004581449375109514,0.0017329388501821086,-2.609650492668152,0.03620445728302002,0.12371864935086165,0.05370365766601615,5.870365766601615,6,0.058218194295192705,6.10079486917997,6,0.1262428888131388,0.048063638681227316,5.306363868122732,5,0.05753666153849313,6.253666153849313,5,0.1262428888131388,0.09840638021616743,9.437094567280155,5,0.07320347287495554,7.820347287495554,5,0.11882401777030557,0.049502437118617126,4.052951988774455,5,0.05935779579187228,6.036921772856196,5,0.1262428888131388,0.09805656483193281,10.30565648319328,5,0.09748800018795079,9.032721106584217,5,0.1262428888131388,0.052623715873274635,5.094837251665046,5,0.10401319239226847,9.435889001923735,5,0.1262428888131388,0.094827547934617,9.9827547934617,5,0.08750596015767753,9.250596015767753,5,0.1262428888131388,0.07594887139416306,8.094887139416306,6,0.08605838257198428,8.554140016411715,6
3,6144,2.075410269200802,0.06268849642947316,0.00012807657549274154,0.0008800712603260763,-2.894688665866852,0.02552829310297966,0.12371864935086165,0.05370365766601615,8.305548649902422,8,0.058218194295192705,8.761704583939606,8,0.1262428888131388,0.048063638681227316,7.459545802184098,8,0.06096375090360984,9.051853699029804,8,0.1262428888131388,0.09840638021616743,14.107413578088526,8,0.07320347287495554,11.230520931243332,8,0.11882401777030557,0.049502437118617126,6.278073844705312,8,0.07190136905214928,9.38199022546366,8,0.1262428888131388,0.09805656483193281,14.958484724789919,8,0.09748800018795079,13.657121115981756,8,0.1262428888131388,0.06674199549324455,8.181937026327274,8,0.10401319239226847,14.386548621537159,8,0.1262428888131388,0.094827547934617,14.474132190192549,8,0.08750596015767753,13.375894023651629,8,0.1262428888131388,0.07594887139416306,11.642330709124458,8,0.08605838257198428,12.607059145010929,8
4,8192,0.7972805500030518,0.05416765669360757,4.029805677419063e-05,0.0009643664307077415,-3.1790604889392853,0.048774052411317825,0.12371864935086165,0.045238599972105165,10.31747864850768,11,0.0560079486917997,11.312102018529592,11,0.1262428888131388,0.048063638681227316,9.612727736245464,10,0.06096375090360984,11.850041244210296,10,0.1262428888131388,0.09840638021616743,18.777732588896896,10,0.07320347287495554,14.640694574991109,10,0.11882401777030557,0.03602219701533682,7.829183695472153,11,0.06562958242201078,12.413469346564199,11,0.1262428888131388,0.090111045502553,19.214036999917568,11,0.09030144534236506,17.92219338310001,11,0.1262428888131388,0.059682855683259595,10.916079810490254,11,0.08935889001923736,18.604493122499026,11,0.1262428888131388,0.094827547934617,18.9655095869234,10,0.08750596015767753,17.501192031535506,10,0.1262428888131388,0.0673799841433454,14.761329916291729,11,0.08408819060392392,16.561468675207124,11
5,10240,0.9095660597085953,0.03829530184157193,1.784011374184047e-05,0.0005702513444703072,-3.464467187722524,0.04126859828829765,0.1237186493508616,0.045238599972105165,12.329408647112938,13,0.0560079486917997,13.862499453119577,13,0.1262428888131388,0.04664747602135605,11.695101537313267,13,0.05968729534561534,14.584406011491062,13,0.1262428888131388,0.08937094567280157,20.0,13,0.0671660075624908,17.74899495311565,13,0.11882401777030553,0.03602219701533682,9.380293546238994,13,0.06562958242201078,15.444948467664737,13,0.1262428888131388,0.090111045502553,20.0,13,0.09030144534236506,20.0,13,0.1262428888131388,0.059682855683259595,13.650222594653235,13,0.08935889001923736,20.0,13,0.1262428888131388,0.08740161742115504,20.0,14,0.08745656955005066,20.0,14,0.1262428888131388,0.0673799841433454,17.880329123459,14,0.08408819060392392,20.0,14
6,12288,0.6569710373878479,0.030440651578828692,1.1739140632016642e-05,0.00034262470580870286,-3.747032344341278,0.037554383277893066,0.1237186493508616,0.045238599972105165,14.341338645718196,16,0.0560079486917997,16.41289688770956,16,0.1262428888131388,0.04664747602135605,13.77747533838107,16,0.05968729534561534,17.318770778771828,16,0.1262428888131388,0.08937094567280157,20.0,16,0.0671660075624908,20.0,16,0.11882401777030553,0.03602219701533682,10.931403397005834,16,0.06562958242201078,18.476427588765276,16,0.1262428888131388,0.090111045502553,20.0,16,0.09030144534236506,20.0,16,0.1262428888131388,0.059682855683259595,16.384365378816213,16,0.08935889001923736,20.0,16,0.1262428888131388,0.08740161742115504,20.0,16,0.08745656955005066,20.0,16,0.1262428888131388,0.0673799841433454,20.0,16,0.08408819060392392,20.0,16
7,14336,-0.1557616889476776,0.027749914792366326,1.0119339151515305e-05,0.0002485319846528,-4.032696545124054,0.05854029208421707,0.1237186493508616,0.045238599972105165,16.353268644323453,19,0.0560079486917997,18.963294322299546,19,0.1262428888131388,0.04664747602135605,15.859849139448873,18,0.05968729534561534,20.0,18,0.1262428888131388,0.08937094567280157,20.0,18,0.0671660075624908,20.0,18,0.11882401777030553,0.03602219701533682,12.482513247772674,19,0.06562958242201078,20.0,19,0.1262428888131388,0.090111045502553,20.0,18,0.09030144534236506,20.0,18,0.1262428888131388,0.059682855683259595,19.118508162979193,19,0.08935889001923736,20.0,19,0.1262428888131388,0.08740161742115504,20.0,19,0.08745656955005066,20.0,19,0.1262428888131388,0.0673799841433454,20.0,19,0.08408819060392392,20.0,19
8,16384,0.8104841262102127,0.021378860343247652,2.0011996298308077e-05,0.00017138037583208643,-4.316195368766785,0.021217498928308487,0.12206824500998267,0.04030539461211643,18.118538374929276,21,0.05408603439711642,20.0,21,0.1264810365330697,0.04471631895399427,17.845665087148586,21,0.05897041740990794,20.0,21,0.1264810365330697,0.08597731421184747,20.0,21,0.0642887964832839,20.0,21,0.1190455357915992,0.031200332229181876,13.792529859231768,22,0.06280226736052019,20.0,22,0.1264810365330697,0.08547966355272989,20.0,21,0.08458977087615456,20.0,21,0.1264810365330697,0.05720119194259332,20.0,21,0.08386556179062965,20.0,21,0.1264810365330697,0.08008363612341725,20.0,21,0.08440556950747354,20.0,21,0.1264810365330697,0.06269780969197065,20.0,22,0.0819138454925219,20.0,22
9,18432,1.1137464325875044,0.018508806329919025,4.748493353190497e-06,6.694685066577222e-05,-4.601974219083786,0.060002632439136505,0.12044051990792692,0.04030539461211643,19.8838081055351,24,0.05408603439711642,20.0,24,0.12671591171615507,0.04471631895399427,19.8314810348483,24,0.05897041740990794,20.0,24,0.12671591171615507,0.08597731421184747,20.0,24,0.0642887964832839,20.0,24,0.11926400979514268,0.031200332229181876,15.102546470690863,24,0.06280226736052019,20.0,24,0.12671591171615507,0.08547966355272989,20.0,24,0.08458977087615456,20.0,24,0.12671591171615507,0.05720119194259332,20.0,24,0.08386556179062965,20.0,24,0.12671591171615507,0.08008363612341725,20.0,24,0.08440556950747354,20.0,24,0.12671591171615507,0.06269780969197065,20.0,24,0.0819138454925219,20.0,24
10,20480,-0.2323053777217865,0.016115198144689202,2.8046463995679005e-06,5.381226628742297e-05,-4.885002076625824,0.047509610652923584,0.11883527612030559,0.04030539461211643,20.0,27,0.05408603439711642,20.0,27,0.12694754292220947,0.04471631895399427,20.0,27,0.05897041740990794,20.0,27,0.12694754292220947,0.08597731421184747,20.0,27,0.0642887964832839,20.0,27,0.11947946634643752,0.031200332229181876,16.412563082149955,26,0.06280226736052019,20.0,26,0.12694754292220947,0.08547966355272989,20.0,26,0.08458977087615456,20.0,26,0.12694754292220947,0.05720119194259332,20.0,26,0.08386556179062965,20.0,26,0.12694754292220947,0.08008363612341725,20.0,27,0.08440556950747354,20.0,27,0.12694754292220947,0.06269780969197065,20.0,27,0.0819138454925219,20.0,27
