actor_losses,critic1_losses,critic2_losses
0.0459063034504652,788.2350158691406,-2.322804570198059
0.014032528270035982,755.9649772644043,-2.6092600524425507
0.0071081340429373085,186.422381401062,-2.8996601551771164
0.014598376292269677,121.46734476089478,-3.179812788963318
0.009328555781394243,62.122231245040894,-3.4638632237911224
0.009245256485883147,49.39119815826416,-3.7480651140213013
0.008386165602132678,31.56619691848755,-4.03138792514801
0.011298850702587515,33.96978306770325,-4.3163696229457855
0.01776076667010784,9.998564302921295,-4.600473523139954
0.016153773525729775,5.769832372665405,-4.884896636009216
0.027530000545084476,3.967168152332306,-5.168981909751892
-0.0016063614748418331,1.0131794661283493,-5.45358282327652
0.003418396692723036,3.9075005054473877,-5.7384451031684875
0.004893915029242635,0.6375902034342289,-6.022636920213699
-0.01142107229679823,0.045489352196455,-6.3065197467803955
