candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_risk,over_risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,raw_vmin,raw_vmax,intervention_steps,intervention_rate,projection_failures,mean_correction_norm,max_correction_norm,power_flow_previews,projection_iterations,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,actor_total_seconds,actor_mean_ms,projection_total_seconds,projection_mean_ms,preview_total_seconds,optimiser_total_seconds,execution_total_seconds,execution_mean_ms,balance_audit_total_seconds,online_path_total_seconds,completed_steps,max_p_balance_residual_mw,max_q_balance_residual_mvar
100,0,0,0,0.45,0.375,0.0,0,0,0,0,0,0,0.9787971128223578,0.9707970346070466,1.00360465805001,0.9707970346070466,1.00360465805001,0,0.0,0,0.0,0.0,0,0,0,0,0.031145499982812908,0.32443229148763447,0.0,0.0,0.0,0.0,1.861036999951466,19.38580208282777,0.11858750004466856,1.892182499934279,96,9.875005315199137e-08,4.473723204390101e-08
100,1,9,864,0.45,0.375,0.0,0,0,0,0,0,0,2.6814769128960845,0.951872724245389,1.0,0.951872724245389,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.028429000034520868,0.29613541702625906,0.0,0.0,0.0,0.0,1.7595588999975007,18.328738541640632,0.11066909997316543,1.7879879000320216,96,9.041692361835829e-08,9.911519771588218e-08
100,2,41,3936,0.45,0.375,0.0,0,0,0,0,0,0,1.625184068828389,0.9611547191753534,1.0019972543873332,0.9611547191753534,1.0019972543873332,0,0.0,0,0.0,0.0,0,0,0,0,0.03069600000162609,0.31975000001693843,0.0,0.0,0.0,0.0,1.850945700025477,19.280684375265384,0.11738219999097055,1.881641700027103,96,9.85675883361653e-08,6.543755724786049e-08
100,3,51,4896,0.45,0.375,0.0,0,0,0,0,0,0,2.368275983576381,0.9542137901963987,1.0,0.9542137901963987,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.029071200027829036,0.3028250002898858,0.0,0.0,0.0,0.0,1.8826445000013337,19.610880208347226,0.12300870002218289,1.9117157000291627,96,6.97933976150783e-08,9.809915199610053e-08
100,4,71,6816,0.45,0.375,0.0,0,0,0,0,0,0,1.6973033333743888,0.9567527679015035,1.0161356641621706,0.9567527679015035,1.0161356641621706,0,0.0,0,0.0,0.0,0,0,0,0,0.02735949997440912,0.284994791400095,0.0,0.0,0.0,0.0,1.731780099995376,18.0393760416185,0.1102942999714287,1.7591395999697852,96,9.953622023828324e-08,9.908120851553903e-08
100,5,120,11520,0.45,0.375,0.0,0,0,0,0,0,0,0.9290701293741244,0.9706502903575752,1.0131689541912017,0.9706502903575752,1.0131689541912017,0,0.0,0,0.0,0.0,0,0,0,0,0.02828880002925871,0.2946750003047782,0.0,0.0,0.0,0.0,1.7756174000096507,18.496014583433862,0.11195339998084819,1.8039062000389094,96,9.851074927146042e-08,5.016208337593753e-08
100,6,149,14304,0.45,0.375,0.0,0,0,0,0,0,0,1.4607094055947054,0.9635600988112137,1.0100838566426737,0.9635600988112137,1.0100838566426737,0,0.0,0,0.0,0.0,0,0,0,0,0.027342700035660528,0.2848197920381305,0.0,0.0,0.0,0.0,1.7681053000633256,18.41776354232631,0.11481939999794122,1.795448000098986,96,9.964863803037238e-08,7.257134240767904e-08
100,7,175,16800,0.45,0.375,0.0,0,0,0,0,0,0,0.9051381650708263,0.971276144552351,1.0095238333037613,0.971276144552351,1.0095238333037613,0,0.0,0,0.0,0.0,0,0,0,0,0.028409900020051282,0.29593645854220085,0.0,0.0,0.0,0.0,1.8079265000487794,18.832567708841452,0.11373089999688091,1.8363364000688307,96,9.845776733838352e-08,4.399500576346416e-08
100,8,201,19296,0.45,0.375,0.0,0,0,0,0,0,0,1.3341221184426177,0.965980196674764,1.0233282707950246,0.965980196674764,1.0233282707950246,0,0.0,0,0.0,0.0,0,0,0,0,0.029041200017672963,0.30251250018409337,0.0,0.0,0.0,0.0,1.8128930000311811,18.884302083658138,0.11412559997552307,1.841934200048854,96,9.865991654721407e-08,6.429645815764218e-08
100,9,209,20064,0.45,0.375,0.0,0,0,0,0,0,0,0.953122792402523,0.9728127374068319,1.023306665241028,0.9728127374068319,1.023306665241028,0,0.0,0,0.0,0.0,0,0,0,0,0.029463299993949477,0.30690937493697373,0.0,0.0,0.0,0.0,1.8332267999649048,19.096112499634426,0.11902720000216505,1.8626900999588543,96,9.183210136765041e-08,5.754304220617623e-08
100,10,216,20736,0.45,0.375,0.0,0,0,0,0,0,0,0.9315117221845329,0.9726143448672435,1.0166636933795876,0.9726143448672435,1.0166636933795876,0,0.0,0,0.0,0.0,0,0,0,0,0.02949439999065362,0.3072333332359752,0.0,0.0,0.0,0.0,1.8135599000088405,18.89124895842542,0.11632590000226628,1.843054299999494,96,7.971654262910188e-08,3.8294529283722234e-08
100,11,234,22464,0.45,0.375,0.0,0,0,0,0,0,0,1.3727617056463146,0.9651436994400111,1.0268805086540989,0.9651436994400111,1.0268805086540989,0,0.0,0,0.0,0.0,0,0,0,0,0.029640499960805755,0.30875520792505995,0.0,0.0,0.0,0.0,1.8737347000424052,19.51806979210839,0.12068929998349631,1.903375200003211,96,9.633499059233386e-08,6.136950565782673e-08
100,12,268,25728,0.45,0.375,0.0,0,0,0,0,0,0,1.6464956288209946,0.9594742408238282,1.0054888564491884,0.9594742408238282,1.0054888564491884,0,0.0,0,0.0,0.0,0,0,0,0,0.029593400002340786,0.3082645833577165,0.0,0.0,0.0,0.0,1.8105314000713406,18.859702084076464,0.1137612999373232,1.8401248000736814,96,9.994009704875073e-08,7.268882828981305e-08
100,13,284,27264,0.45,0.375,0.0,0,0,0,0,0,0,1.886440724263995,0.9571685631016309,1.0018022589277462,0.9571685631016309,1.0018022589277462,0,0.0,0,0.0,0.0,0,0,0,0,0.028125899996666703,0.29297812496527814,0.0,0.0,0.0,0.0,1.746292199997697,18.190543749976012,0.1109712000034051,1.7744180999943637,96,9.948593192310451e-08,9.545823562162603e-08
100,14,291,27936,0.45,0.375,0.0,0,0,0,0,0,0,1.8152809417719564,0.9566857201749778,1.005385490757125,0.9566857201749778,1.005385490757125,0,0.0,0,0.0,0.0,0,0,0,0,0.02812810003524646,0.2930010420338173,0.0,0.0,0.0,0.0,1.7814708000369137,18.55698750038452,0.11583899996912805,1.8095989000721602,96,9.990697935613468e-08,9.985126031564207e-08
100,15,296,28416,0.45,0.375,0.0,0,0,0,0,0,0,2.114070924991133,0.9554915987266037,1.0,0.9554915987266037,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.029614200051582884,0.3084812505373217,0.0,0.0,0.0,0.0,1.8064655999696697,18.81734999968406,0.1140041000326164,1.8360798000212526,96,9.856084781656449e-08,9.863038760715703e-08
100,16,350,33600,0.45,0.375,0.0,0,0,0,0,0,0,1.5903661000432774,0.9632340795874716,1.0,0.9632340795874716,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.028269499976886436,0.29447395809256705,0.0,0.0,0.0,0.0,1.7743364000343718,18.482670833691373,0.1120338000182528,1.8026059000112582,96,9.38444115906184e-08,4.2480852863180374e-08
105,0,0,0,0.45,0.5625,0.0,0,0,0,0,0,0,0.9763587304374366,0.9711560241480042,1.0036220286857223,0.9711560241480042,1.0036220286857223,0,0.0,0,0.0,0.0,0,0,0,0,0.028893399983644485,0.3009729164962967,0.0,0.0,0.0,0.0,1.7818283000742667,18.560711459106944,0.11103209996508667,1.8107217000579112,96,9.723475196017628e-08,4.4537617552298236e-08
105,1,9,864,0.45,0.5625,0.0,0,0,0,0,0,0,2.6693217364882273,0.9559864130377763,1.0,0.9559864130377763,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.027287100019748323,0.2842406252057117,0.0,0.0,0.0,0.0,1.7764617000357248,18.504809375372133,0.11265939996519592,1.8037488000554731,96,8.793594830601437e-08,9.661127106652678e-08
105,2,41,3936,0.45,0.5625,0.0,0,0,0,0,0,0,1.6318591283261934,0.9627127556631727,1.0020538973390851,0.9627127556631727,1.0020538973390851,0,0.0,0,0.0,0.0,0,0,0,0,0.028857499979494605,0.30059895811973547,0.0,0.0,0.0,0.0,1.8241056999977445,19.00110104164317,0.1163514999934705,1.8529631999772391,96,9.831749800577605e-08,5.707779297814408e-08
105,3,51,4896,0.45,0.5625,0.0,0,0,0,0,0,0,2.380476092480803,0.9578176215455987,1.0,0.9578176215455987,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.028175500032375567,0.29349479200391215,0.0,0.0,0.0,0.0,1.7585571000381606,18.318303125397506,0.11101400001643924,1.7867326000705361,96,6.760044347214889e-08,9.899209924002506e-08
105,4,71,6816,0.45,0.5625,0.0,0,0,0,0,0,0,1.7167817755191128,0.9598663004195472,1.0171646028857595,0.9598663004195472,1.0171646028857595,0,0.0,0,0.0,0.0,0,0,0,0,0.02828589999990072,0.2946447916656325,0.0,0.0,0.0,0.0,1.7572199999776785,18.304374999767486,0.11187640002026455,1.7855058999775792,96,8.969449790535711e-08,9.992643684730851e-08
105,5,120,11520,0.45,0.5625,0.0,0,0,0,0,0,0,0.9267766853668058,0.9706665611170442,1.013041871251255,0.9706665611170442,1.013041871251255,0,0.0,0,0.0,0.0,0,0,0,0,0.027186099949176423,0.2831885411372544,0.0,0.0,0.0,0.0,1.7455008999604615,18.182301041254807,0.11066399997798726,1.772686999909638,96,9.718727129494342e-08,4.996284962144326e-08
105,6,149,14304,0.45,0.5625,0.0,0,0,0,0,0,0,1.476335866911672,0.9643816570238554,1.011187407566954,0.9643816570238554,1.011187407566954,0,0.0,0,0.0,0.0,0,0,0,0,0.028638300020247698,0.29831562521091354,0.0,0.0,0.0,0.0,1.806598799979838,18.81873749978998,0.11698660002730321,1.8352371000000858,96,9.663186264184664e-08,4.5181179561537554e-08
105,7,175,16800,0.45,0.5625,0.0,0,0,0,0,0,0,0.9027326944962744,0.9713043254423366,1.0094068388945079,0.9713043254423366,1.0094068388945079,0,0.0,0,0.0,0.0,0,0,0,0,0.027904500013391953,0.2906718751394995,0.0,0.0,0.0,0.0,1.7784297000034712,18.52530937503616,0.11240629997337237,1.8063342000168632,96,9.710528506290395e-08,4.378033081897659e-08
105,8,201,19296,0.45,0.5625,0.0,0,0,0,0,0,0,1.344642317467271,0.966344486861399,1.0241173592061292,0.966344486861399,1.0241173592061292,0,0.0,0,0.0,0.0,0,0,0,0,0.028781199973309413,0.2998041663886397,0.0,0.0,0.0,0.0,1.7794587000171305,18.536028125178444,0.11282129999744939,1.8082398999904399,96,9.759688196497862e-08,4.6464003478075e-08
105,9,209,20064,0.45,0.5625,0.0,0,0,0,0,0,0,0.9512276467294166,0.9727742511075437,1.0232480682041696,0.9727742511075437,1.0232480682041696,0,0.0,0,0.0,0.0,0,0,0,0,0.028549199960252736,0.297387499585966,0.0,0.0,0.0,0.0,1.820293900083925,18.961394792540887,0.1173246999605908,1.8488431000441778,96,9.114263219145435e-08,5.738888690653976e-08
105,10,216,20736,0.45,0.5625,0.0,0,0,0,0,0,0,0.9292754887654701,0.9725752629761358,1.0165041579609466,0.9725752629761358,1.0165041579609466,0,0.0,0,0.0,0.0,0,0,0,0,0.028009899993776344,0.2917697916018369,0.0,0.0,0.0,0.0,1.8113772000651807,18.868512500678964,0.1155633999442216,1.839387100058957,96,7.826427052444462e-08,3.803739490049196e-08
105,11,234,22464,0.45,0.5625,0.0,0,0,0,0,0,0,1.382137753337842,0.9653670211367824,1.0274572438391967,0.9653670211367824,1.0274572438391967,0,0.0,0,0.0,0.0,0,0,0,0,0.02924130000610603,0.3045968750636045,0.0,0.0,0.0,0.0,1.7617036000374355,18.35107916705662,0.1112261999733164,1.7909449000435416,96,9.782683940695591e-08,4.9961922099495126e-08
105,12,268,25728,0.45,0.5625,0.0,0,0,0,0,0,0,1.6639831867910055,0.9617052237435799,1.0056747864191906,0.9617052237435799,1.0056747864191906,0,0.0,0,0.0,0.0,0,0,0,0,0.028230799987795763,0.29407083320620586,0.0,0.0,0.0,0.0,1.8185988000186626,18.943737500194402,0.11645410000346601,1.8468296000064583,96,9.965209451893997e-08,6.649303385675154e-08
105,13,284,27264,0.45,0.5625,0.0,0,0,0,0,0,0,1.9083795418062723,0.9601922108771453,1.0020018422366437,0.9601922108771453,1.0020018422366437,0,0.0,0,0.0,0.0,0,0,0,0,0.02849120003520511,0.2967833337000532,0.0,0.0,0.0,0.0,1.7841488999983994,18.58488437498333,0.11255010002787458,1.8126401000336045,96,9.819321912865608e-08,9.914624607421096e-08
105,14,291,27936,0.45,0.5625,0.0,0,0,0,0,0,0,1.8363905932370592,0.9598234472190984,1.0055648417874055,0.9598234472190984,1.0055648417874055,0,0.0,0,0.0,0.0,0,0,0,0,0.02768439995998051,0.288379166249797,0.0,0.0,0.0,0.0,1.8000764000898926,18.750795834269713,0.11547119996248512,1.827760800049873,96,9.577040979702467e-08,9.578641421703615e-08
105,15,296,28416,0.45,0.5625,0.0,0,0,0,0,0,0,2.1367073615110277,0.958843438070054,1.0,0.958843438070054,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.028733399987686425,0.2993062498717336,0.0,0.0,0.0,0.0,1.818342299950018,18.941065624479354,0.11685820002458058,1.8470756999377045,96,9.7034253479511e-08,9.804479797481669e-08
105,16,350,33600,0.45,0.5625,0.0,0,0,0,0,0,0,1.5929759647261312,0.9640148526087192,1.0,0.9640148526087192,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.030430600003455766,0.3169854167026642,0.0,0.0,0.0,0.0,1.9355185000240454,20.16165104191714,0.12390220000088448,1.9659491000275011,96,9.973355973545706e-08,4.579154541661801e-08
267,0,0,0,0.9,1.5,0.5,0,0,0,0,0,0,0.9901552538953879,0.9712437288271673,1.007352313535225,0.9712437288271673,1.007352313535225,0,0.0,0,0.0,0.0,0,0,0,0,0.02884690003702417,0.3004885420523351,0.0,0.0,0.0,0.0,1.9279286999517353,20.082590624497243,0.11733600000297884,1.9567755999887595,96,8.605387378374241e-08,5.0767320416977846e-08
267,1,9,864,0.9,1.5,0.5,0,0,0,0,0,0,2.7479647171977173,0.9572395636077842,1.0,0.9572395636077842,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.028966200050490443,0.30173125052594213,0.0,0.0,0.0,0.0,1.987056800033315,20.698508333680365,0.12001229997986229,2.0160230000838055,96,7.860266135022165e-08,9.863951988542397e-08
267,2,41,3936,0.9,1.5,0.5,0,0,0,0,0,0,1.663341607458916,0.9635133790063518,1.0052321025631434,0.9635133790063518,1.0052321025631434,0,0.0,0,0.0,0.0,0,0,0,0,0.029429000001982786,0.30655208335398737,0.0,0.0,0.0,0.0,1.9563270999642555,20.378407291294327,0.11766780002653832,1.9857560999662383,96,9.957557761848534e-08,7.356525395796343e-08
267,3,51,4896,0.9,1.5,0.5,0,0,0,0,0,0,2.4447000695407057,0.9590567784112911,1.0,0.9590567784112911,1.0,0,0.0,0,0.0,0.0,0,0,0,0,0.02718470001127571,0.28317395845078863,0.0,0.0,0.0,0.0,1.881736200019077,19.601418750198718,0.11496650000481168,1.9089209000303526,96,9.888975586319626e-08,9.758085034450303e-08
267,4,71,6816,0.9,1.5,0.5,0,0,0,0,0,0,1.7573359568312348,0.9609690537761871,1.0211714252265263,0.9609690537761871,1.0211714252265263,0,0.0,0,0.0,0.0,0,0,0,0,0.028716699991491623,0.2991322915780377,0.0,0.0,0.0,0.0,1.9692294000269612,20.512806250280846,0.12081309995119227,1.9979461000184529,96,9.120749783902982e-08,9.186123015036962e-08
