update,total_step,policy_loss,value_loss,entropy,approx_kl
1,2048,0.07305026054382324,7445.073303222656,-2.3237248063087463,0.05164952576160431
2,4096,-0.08267980782936017,4945.812398274739,-2.6141351560751596,0.042782627046108246
3,6144,-0.013296565040946007,1959.9612579345703,-2.894881546497345,0.03201102465391159
4,8192,-0.024516554549336433,1087.104148864746,-3.1786046028137207,0.05180453509092331
5,10240,-0.0034516584128141403,560.1275177001953,-3.4630944430828094,0.029337730258703232
6,12288,0.019037805497646332,381.8166046142578,-3.7465901374816895,0.026211867108941078
7,14336,0.02099488046951592,211.0569190979004,-4.031652271747589,0.04385887086391449
8,16384,0.04041514778509736,115.54273319244385,-4.316281974315643,0.053801145404577255
9,18432,0.013976342510432005,29.18199849128723,-4.60061240196228,0.03260519355535507
10,20480,0.026538831647485495,30.507464170455933,-4.88473778963089,0.022766420617699623
11,22528,-0.016687612689565867,5.533973101526499,-5.171857073903084,0.042318880558013916
12,24576,0.019980265526100993,1.9345972537994385,-5.45393431186676,0.12124012410640717
13,26624,-0.017291426891461015,2.3931727334856987,-5.738271117210388,0.06401574611663818
14,28672,-0.0017740664770826697,0.5270293541252613,-6.024108380079269,0.029326874762773514
15,28800,-0.06805777549743652,0.14839720726013184,-6.3066346645355225,0.026819974184036255
