job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax,raw_vmin,raw_vmax,intervention_steps,intervention_rate,projection_failures,mean_correction_norm,max_correction_norm,power_flow_previews
0,0.8922557234764099,1.0637273788452148,0.2655468583106994,15810,0,0,0,0,0,0,0.05382386506437686,1.2917727615450447,0.9635272021627859,1.0256695222166419,0.9635272021627859,1.0256695222166419,0,0.0,0,0.0,0.0,96
1,1.11762273311615,0.715850830078125,0.564409077167511,14639,0,0,0,0,0,0,0.04227168978308624,1.0145205547940699,0.9590042510091671,1.0206546905702851,0.9590042510091671,1.0206546905702851,0,0.0,0,0.0,0.0,96
2,1.4199260473251345,1.2354456186294556,0.9599280953407288,25978,0,0,0,0,0,0,0.07908188726158855,1.897965294278125,0.969711756665829,1.0339882058512073,0.969711756665829,1.0339882058512073,0,0.0,0,0.0,0.0,96
3,1.397938251495361,0.7383283972740173,0.0892592146992683,13517,0,0,0,0,0,0,0.0443311968509811,1.0639487244235464,0.957688020726309,1.019885794362727,0.957688020726309,1.019885794362727,0,0.0,0,0.0,0.0,96
4,1.1385867595672607,1.2653429508209229,0.0705578178167343,35569,0,0,0,0,0,0,0.06661124811937331,1.5986699548649597,0.9702902073046243,1.0315790920799226,0.9702902073046243,1.0315790920799226,0,0.0,0,0.0,0.0,96
5,0.758236825466156,0.8443105220794678,0.6788710355758667,31780,0,0,0,0,0,0,0.046490992166160476,1.1157838119878514,0.9635448083060625,1.0229483012719585,0.9635448083060625,1.0229483012719585,0,0.0,0,0.0,0.0,96
6,1.1141111850738523,1.202295184135437,0.8086973428726196,33854,0,0,0,0,0,0,0.07018010005979074,1.6843224014349776,0.9710574949234984,1.0311874256745557,0.9710574949234984,1.0311874256745557,0,0.0,0,0.0,0.0,96
7,0.8388385772705078,0.7685493230819702,0.0764496922492981,26570,0,0,0,0,0,0,0.03979093374960093,0.9549824099904223,0.9585346477195609,1.016482304558487,0.9585346477195609,1.016482304558487,0,0.0,0,0.0,0.0,96
8,0.7935377955436707,0.8132753372192383,0.8678043484687805,36143,0,0,0,0,0,0,0.046061728717949973,1.1054814892307994,0.9622250326673499,1.0218165754541093,0.9622250326673499,1.0218165754541093,0,0.0,0,0.0,0.0,96
9,0.8543351292610168,1.4582303762435913,0.3429531753063202,35352,0,0,0,0,0,0,0.08182811466568986,1.9638747519765567,0.972699311955453,1.038387964267302,0.972699311955453,1.038387964267302,0,0.0,0,0.0,0.0,96
10,1.437896490097046,1.3765506744384766,0.5912892818450928,33150,0,0,0,0,0,0,0.08209538990987313,1.970289357836955,0.9696334179172252,1.0368855320797634,0.9696334179172252,1.0368855320797634,0,0.0,0,0.0,0.0,96
11,0.7079476118087769,1.360935926437378,0.6865734457969666,5601,0,0,0,0,0,0,0.07669475948267189,1.8406742275841252,0.9725480135250988,1.0360101378685311,0.9725480135250988,1.0360101378685311,0,0.0,0,0.0,0.0,96
12,1.172824740409851,1.48961079120636,0.6333551406860352,33249,0,0,0,0,0,0,0.08989189784935801,2.157405548384592,0.9758557011779854,1.0404421227591432,0.9758557011779854,1.0404421227591432,0,0.0,0,0.0,0.0,96
13,0.9680083394050598,1.4241880178451538,0.5417709350585938,8311,0,0,0,0,0,0,0.08154723325657337,1.957133598157761,0.973792901058126,1.0381522096824014,0.973792901058126,1.0381522096824014,0,0.0,0,0.0,0.0,96
14,0.8214073181152344,1.3901398181915283,0.0344803854823112,37912,0,0,0,0,0,0,0.07282986970969908,1.747916873032778,0.9713167459711107,1.0347537622852474,0.9713167459711107,1.0347537622852474,0,0.0,0,0.0,0.0,96
15,1.1092581748962402,1.2629188299179075,0.8158876299858093,20146,0,0,0,0,0,0,0.07398015186411044,1.7755236447386507,0.9669958627962709,1.034428371338062,0.9669958627962709,1.034428371338062,0,0.0,0,0.0,0.0,96
16,1.0925081968307495,0.7300975322723389,0.3620470762252807,31489,0,0,0,0,0,0,0.04151936839419301,0.9964648414606323,0.9615576539551924,1.0193148973565238,0.9615576539551924,1.0193148973565238,0,0.0,0,0.0,0.0,96
17,0.728144645690918,1.1051019430160522,0.5382826328277588,24154,0,0,0,0,0,0,0.05670531662766764,1.3609275990640233,0.9648889625645763,1.0299609421529552,0.9648889625645763,1.0299609421529552,0,0.0,0,0.0,0.0,96
