scenario_index,day_index,t0
0,9,864
1,12,1152
2,18,1728
3,42,4032
4,52,4992
5,75,7200
6,76,7296
7,160,15360
8,163,15648
9,165,15840
10,180,17280
11,182,17472
12,185,17760
13,195,18720
14,200,19200
15,221,21216
16,227,21792
17,249,23904
18,255,24480
19,260,24960
20,279,26784
21,309,29664
22,310,29760
23,327,31392
24,328,31488
25,350,33600
26,353,33888
27,363,34848
28,365,35040
29,391,37536
