method,execution,seed,jobs,completed_steps,risk,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar,actor_mean_ms,actor_median_ms,actor_p95_ms,actor_p99_ms,actor_max_ms,projection_mean_ms,projection_median_ms,projection_p95_ms,projection_p99_ms,projection_max_ms,ac_execution_mean_ms,ac_execution_median_ms,ac_execution_p95_ms,ac_execution_p99_ms,ac_execution_max_ms,online_total_mean_ms,online_total_median_ms,online_total_p95_ms,online_total_p99_ms,online_total_max_ms
wg,raw,42,299,28704,0.0,1.5859188283401615,0.0,0,0,0,0,0,0,0.9521235025564225,1.0249908451287235,9.996895282936291e-08,9.997197916722378e-08,0.20378740247638857,0.1827000014600344,0.298099999781698,0.34149700280977424,1.7385000028298236,0.0,0.0,0.0,0.0,0.0,11.892054616042827,9.833300002355827,18.835180005044094,19.609952003083894,23.977600001671817,12.095842018519216,10.022799997386755,19.114100002116174,19.90617000265047,24.248400004580617
wg,projected,42,299,28704,0.0,1.5859188283401615,0.0,0,0,0,28704,0,0,0.9521235025564225,1.0249908451287235,9.996895282936291e-08,9.997197916722378e-08,0.20620993238710025,0.18529999942984432,0.30110000079730526,0.3443879959377232,1.4595000029657967,5.120981598389607,4.139249998843297,8.29296999872895,8.665291003417224,13.633499998832121,11.909304420980563,9.888249998766696,18.84254000178771,19.664681997601292,25.21340000384953,17.23649595175727,14.66814999730559,26.811900000029702,28.295849989881397,31.897500004561152
wg,raw,43,299,28704,0.0,2.0398578787130615,0.0,0,0,0,0,0,0,0.9597969606008755,1.0395455829827447,9.997876878817258e-08,9.994163774340592e-08,0.2079922937566554,0.1866000020527281,0.3089849964453604,0.3528969950275497,2.7772000030381605,0.0,0.0,0.0,0.0,0.0,11.828842192707956,9.791149997909088,19.060185000125784,19.75979100105178,28.517999999166932,12.036834486464612,9.985350003262283,19.354580008075573,20.063297005617642,28.688600003079046
wg,projected,43,299,28704,0.0,2.0398578787130615,0.0,0,0,0,28704,0,0,0.9597969606008755,1.0395455829827447,9.997876878817258e-08,9.994163774340592e-08,0.20875044596796782,0.18819999968400225,0.3077000001212582,0.34849400515668116,1.2997999947401695,5.170555093359696,4.179599996859906,8.403500002532382,8.742285000553238,16.560300005949102,12.010422146738886,9.917649997078115,19.148284995389986,19.8735670017777,30.593499992392026,17.38972768606655,14.664950005681021,27.554179993603604,28.67832199801342,34.86349999002414
wg,raw,44,299,28704,0.0,1.6159969511185235,0.0,0,0,0,0,0,0,0.952579340728442,1.0237713694289186,9.999322455982174e-08,9.996226598210645e-08,0.2039145380540899,0.18429999909130856,0.3001000004587695,0.3451940018567259,2.9548999955295585,0.0,0.0,0.0,0.0,0.0,11.790164910812315,9.852200004388578,18.694369995137095,19.60346999738249,26.951799998641945,11.994079448866405,10.04550000288873,18.977809992429684,19.898084999076673,27.116899997054134
wg,projected,44,299,28704,0.0,1.6159969511185235,0.0,0,0,0,28704,0,0,0.952579340728442,1.0237713694289186,9.999322455982174e-08,9.996226598210645e-08,0.19984569749590086,0.17899999511428177,0.2973000009660609,0.34020000020973384,0.8964000007836148,4.905567011592201,4.069499998877291,8.15629999851808,8.582499998738058,15.971799999533687,11.415951445800097,9.642500001064036,18.255364999276935,19.543240004204566,29.58790000411682,16.5213641548882,14.182050003000768,25.00423999845225,28.10864898943692,33.585899996978696
wg,raw,45,299,28704,0.0,1.6460081997849796,0.0,0,0,0,0,0,0,0.9530640912134704,1.029205425158778,9.994601638495249e-08,9.999741597266354e-08,0.19607945929200243,0.17500000103609636,0.29299999732756987,0.33889699778228544,0.8401000013691373,0.0,0.0,0.0,0.0,0.0,11.458010660521747,9.678899998107227,18.30373000193503,19.666916000496716,21.369500005675945,11.65409011981375,9.864749994449085,18.538804999843702,19.958178991873865,21.635300006892066
wg,projected,45,299,28704,0.0,1.6460081997849796,0.0,0,0,0,28704,0,0,0.9530640912134704,1.029205425158778,9.994601638495249e-08,9.999741597266354e-08,0.21605544523110415,0.19489999976940453,0.32440000359201804,0.3660970009514132,0.9778999956324697,5.401610820792987,4.251449998264434,8.65567000291776,9.00788500024646,10.557599998719525,12.538655030657425,10.255300003336743,19.756925001274794,20.479385009093676,22.768199996789917,18.15632129668152,15.19650000409456,28.44438999491103,29.55103700012842,32.48869999515591
wg,raw,46,299,28704,0.0,1.6515074694243221,0.0,0,0,0,0,0,0,0.953591018866753,1.0402744577120158,9.999948297374772e-08,9.998263675314867e-08,0.20558228819304952,0.18370000179857016,0.30870000045979396,0.35559700103476655,0.8071999982348643,0.0,0.0,0.0,0.0,0.0,11.867899115115229,9.822300002269913,19.30162499884318,20.250094002112746,23.697900003753603,12.073481403308278,10.014900006353855,19.593180000811117,20.57208200189052,23.98440000251867
wg,projected,46,299,28704,0.0,1.6515074694243221,0.0,0,0,0,28704,0,0,0.953591018866753,1.0402744577120158,9.999948297374772e-08,9.998263675314867e-08,0.26297439729295746,0.26000000070780516,0.35569999454310164,0.389290995881311,0.865399997564964,6.897967673503819,7.106249999196734,9.051400003954768,9.33839699922828,10.575499996775761,15.98121568422423,16.525449998880504,20.66729999933159,21.200679994581154,23.35060000041267,23.142157755021003,23.83795000059763,29.84746999645722,30.50816099763324,32.85019999020733
concat,raw,42,299,28704,0.0,1.5369130937044204,0.0,0,0,0,0,0,0,0.9500436448148961,1.0344175182629507,9.996481831545112e-08,9.999715167019474e-08,0.269443847545646,0.27180000324733555,0.3572999994503334,0.39009400177747033,1.3466000018524937,0.0,0.0,0.0,0.0,0.0,16.566601532862215,16.75069999691914,20.698500002981746,21.175688006696873,22.37260000401875,16.836045380407864,17.010700001264922,21.023755000715028,21.504688001878094,22.845400009828154
concat,projected,42,299,28704,0.0,1.536920552640325,0.0001741917502787068,0,5,5,28729,21,63,0.9505001266208647,1.0344175182629507,9.996481831545112e-08,9.999715167019474e-08,0.2683276128795451,0.2673999988473952,0.35960000241175294,0.3942000037204707,0.8478000017930754,7.123346760049637,7.2473500040359795,9.239969999180175,9.552481999780866,57.09799999749521,16.510180654284852,16.86524999968242,21.084355002676602,21.706949006984363,23.12759999767877,23.901855027214037,24.357800008147024,30.400584993185475,31.25859100720845,79.1482999920845
concat,raw,43,299,28704,0.0,1.5272499948641558,0.0,0,0,0,0,0,0,0.9508674271329878,1.032753209797729,9.999450619954664e-08,9.997347061307948e-08,0.2634313161863973,0.2613500000734348,0.35320000351930503,0.3887939993728653,1.3801000022795051,0.0,0.0,0.0,0.0,0.0,16.281202435240747,16.70804999594111,20.813700000871904,21.37224899772264,22.71630000177538,16.544633751427146,16.96644999901764,21.139124992623692,21.698369999649003,23.03810000012163
concat,projected,43,299,28704,0.0,1.5272499948641558,0.0,0,0,0,28704,3,11,0.9508674271329878,1.032753209797729,9.999450619954664e-08,9.997347061307948e-08,0.28540712445314365,0.2916000012191944,0.3724999987753108,0.414399997680448,1.417700004822109,7.603084305320492,7.484800000383984,9.486454999932903,9.773587995368871,11.347100000421051,17.611644763802648,17.482749997725477,21.533485003965325,22.079443005713987,24.394500003836583,25.500136193576285,25.35310000894242,31.055239992929273,31.814185010443907,34.156600006099325
concat,raw,44,299,28704,0.0,1.5408067615317644,0.0,0,0,0,0,0,0,0.950982728085372,1.031955853798403,9.999897748400044e-08,9.99561633463486e-08,0.2867470979679338,0.29240000003483146,0.3732999975909479,0.4150000020308653,1.2553999986266717,0.0,0.0,0.0,0.0,0.0,17.837913123591676,17.714699999487493,21.658205000494487,22.19838200166123,24.19880000525154,18.124660221559612,18.002100001467625,21.990085001743864,22.546769998953096,24.536900004022755
