execution,candidate_id,training_seeds,concat_minus_wg_mean_mwh,standard_deviation_mwh,ci95_low_mwh,ci95_high_mwh,supports_wg_lower_loss,seed_contrasts_mwh
projected,105,5,-0.1764650415366606,0.19058467295682296,-0.41310716855658663,0.06017708548326545,False,"[-0.048998275699836835, -0.5126078838489057, -0.07519018958675905, -0.1191466757363342, -0.1263821828114673]"
raw,105,5,-0.17646788770242666,0.1905829809301198,-0.41310791379371137,0.06017213838885807,False,"[-0.049005734635741316, -0.5126078838489057, -0.07519018958675905, -0.1191466757363342, -0.12638895470439304]"
