path_index,seed,throughput_mvarh,saturation_percent
0,42,37.101356544438936,0.0
0,43,37.42551098669867,0.0
0,44,36.71149036001663,0.0
0,45,36.46867713555806,0.0
0,46,36.96200963814776,0.0
1,42,44.613141806137875,0.0
1,43,44.68551740480085,0.0
1,44,44.74896981099634,0.0
1,45,44.084662694813716,0.0
1,46,44.45953750473201,0.0
2,42,33.344489885173594,0.0
2,43,33.14145085202429,0.0
2,44,33.84711416701002,0.0
2,45,34.70302741763432,0.0
2,46,33.52319476921168,0.0
3,42,31.021503799379897,0.0
3,43,30.974656969297172,0.0
3,44,31.00221306010736,0.0
3,45,31.247786028399833,0.0
3,46,30.945410185678558,0.0
4,42,30.799784032638392,0.0
4,43,30.691084121671025,0.0
4,44,30.758933946435786,0.0
4,45,30.96882719497893,0.0
4,46,30.6641016791789,0.0
5,42,30.779349746774688,0.0
5,43,30.67861571815487,0.0
5,44,30.74492559921442,0.0
5,45,30.935854518707153,0.0
5,46,30.67516884279881,0.0
6,42,30.776020035611523,0.0
6,43,30.708082051114335,0.0
6,44,30.783774964171183,0.0
6,45,31.00947618055877,0.0
6,46,30.745524108438524,0.0
7,42,30.75558284415747,0.0
7,43,30.717150228406005,0.0
7,44,30.763706562204046,0.0
7,45,30.995993567288384,0.0
7,46,30.73070978859577,0.0
8,42,30.76906104130337,0.0
8,43,30.750739002940946,0.0
8,44,30.780106293472137,0.0
8,45,30.992722616418252,0.0
8,46,30.730638186883453,0.0
