path_index,seed,vmod_loss_mwh,opf_loss_mwh,regret_mwh,paired_days
0,42,1.117474547095025,1.110952561618042,0.0065219854769827945,4
0,43,1.1194201998210396,1.110952561618042,0.008467638202997507,4
0,44,1.1189328688144455,1.110952561618042,0.007980307196403635,4
0,45,1.1171931542688414,1.110952561618042,0.006240592650799459,4
0,46,1.1180841289112233,1.110952561618042,0.007131567293181373,4
1,42,1.1167337961805979,1.1104413399144173,0.00629245626618069,4
1,43,1.1181583854378547,1.1104413399144173,0.00771704552343766,4
1,44,1.117573728220258,1.1104413399144173,0.007132388305840787,4
1,45,1.1164170519910595,1.1104413399144173,0.00597571207664227,4
1,46,1.1172428127583642,1.1104413399144173,0.0068014728439469985,4
2,42,0.8893185067598668,0.886538579416735,0.002779927343131816,4
2,43,0.8857501325153493,0.886538579416735,-0.0007884469013856865,4
2,44,0.8848902950402332,0.886538579416735,-0.0016482843765018018,4
2,45,0.8892546983994363,0.886538579416735,0.0027161189827013543,4
2,46,0.8872967565681182,0.886538579416735,0.0007581771513833213,4
3,42,0.8651297070688824,0.865003423706047,0.0001262833628354887,4
3,43,0.8649182138572449,0.865003423706047,-8.520984880200366e-05,4
3,44,0.8649464838470833,0.865003423706047,-5.69398589636283e-05,4
3,45,0.8654113331622997,0.865003423706047,0.00040790945625276964,4
3,46,0.8649800726686887,0.865003423706047,-2.3351037358260163e-05,4
4,42,0.8646940365265867,0.8646263431325731,6.769339401357932e-05,4
4,43,0.8645648755780403,0.8646263431325731,-6.146755453281805e-05,4
4,44,0.8646340881030666,0.8646263431325731,7.74497049346734e-06,4
4,45,0.8648413999570963,0.8646263431325731,0.00021505682452327424,4
4,46,0.8646091478540914,0.8646263431325731,-1.7195278481679788e-05,4
5,42,0.8646011110438394,0.8645124694596863,8.86415841532262e-05,4
5,43,0.8645588585840676,0.8645124694596863,4.638912438120757e-05,4
5,44,0.8645866984000139,0.8645124694596863,7.422894032760308e-05,4
5,45,0.8648019512841647,0.8645124694596863,0.0002894818244784103,4
5,46,0.8645989764237396,0.8645124694596863,8.650696405335112e-05,4
6,42,0.8645871209786155,0.8644965173692108,9.060360940457701e-05,4
6,43,0.8645713180642297,0.8644965173692108,7.480069501883402e-05,4
6,44,0.8645809433573806,0.8644965173692108,8.442598816962854e-05,4
6,45,0.8648379844923907,0.8644965173692108,0.0003414671231798394,4
6,46,0.8646065439540006,0.8644965173692108,0.00011002658478975746,4
7,42,0.8645867979982824,0.8644814967687999,0.00010530122948240739,4
7,43,0.8645617438036517,0.8644814967687999,8.024703485171036e-05,4
7,44,0.8645735912424191,0.8644814967687999,9.209447361918643e-05,4
7,45,0.8647892327267083,0.8644814967687999,0.00030773595790825614,4
7,46,0.8646000068231311,0.8644814967687999,0.00011851005433116679,4
8,42,0.8646048634228722,0.8644880081624391,0.00011685526043303529,4
8,43,0.8645861533777264,0.8644880081624391,9.814521528725417e-05,4
8,44,0.864578368868404,0.8644880081624391,9.036070596482593e-05,4
8,45,0.864750878600874,0.8644880081624391,0.0002628704384348701,4
8,46,0.8646066841206149,0.8644880081624391,0.00011867595817574572,4
