seed,day,pilot_line_loss_mwh,vmod_line_loss_mwh,pilot_reactive_throughput_mvarh,vmod_reactive_throughput_mvarh,line_loss_reduction_mwh,reactive_throughput_reduction_mvarh
43,0,3.0323016725155987,1.741327027708524,74.3703948357394,32.266679289194585,1.2909746448070747,42.10371554654482
44,0,3.0323016725155987,1.7412190845092854,74.3703948357394,32.34036198307837,1.2910825880063133,42.03003285266104
45,0,3.0323016725155987,1.7426390953273574,74.3703948357394,32.530660959265376,1.2896625771882413,41.83973387647403
46,0,3.0323016725155987,1.741228924938006,74.3703948357394,32.18364415045829,1.2910727475775927,42.18675068528111
42,1,3.64358016021981,2.0726002960948904,82.46200442960489,35.78092041146287,1.5709798641249195,46.681084018142016
43,1,3.64358016021981,2.0697343223165827,82.46200442960489,35.62445669743304,1.5738458379032272,46.83754773217185
44,1,3.64358016021981,2.068337057538354,82.46200442960489,35.62394160969216,1.5752431026814557,46.83806281991273
45,1,3.64358016021981,2.073708892464109,82.46200442960489,35.96484202671991,1.5698712677557007,46.49716240288498
46,1,3.64358016021981,2.0690633785274586,82.46200442960489,35.47537509337923,1.5745167816923513,46.98662933622566
42,2,3.5944705849129144,2.048653066165293,81.8872458244677,35.318986428475405,1.5458175187476213,46.56825939599229
43,2,3.5944705849129144,2.046523767449914,81.8872458244677,35.12999852073868,1.5479468174630004,46.75724730372902
44,2,3.5944705849129144,2.046408358160692,81.8872458244677,35.241500300020405,1.5480622267522222,46.64574552444729
45,2,3.5944705849129144,2.048900655152836,81.8872458244677,35.4553037281381,1.5455699297600782,46.4319420963296
46,2,3.5944705849129144,2.046027666121292,81.8872458244677,35.063753839828685,1.5484429187916224,46.82349198463901
42,3,3.3479305726870923,1.90617607076682,79.25469945951616,34.23724657786182,1.4417545019202722,45.01745288165434
43,3,3.3479305726870923,1.9048126192950063,79.25469945951616,34.09421249682961,1.443117953392086,45.16048696268655
44,3,3.3479305726870923,1.905029229214096,79.25469945951616,34.22328472647269,1.4429013434729963,45.03141473304347
45,3,3.3479305726870923,1.906343519689132,79.25469945951616,34.35178505396379,1.4415870529979602,44.90291440555237
46,3,3.3479305726870923,1.905080329436308,79.25469945951616,34.06851706925776,1.4428502432507844,45.1861823902584
42,5,2.131998858731373,1.2661094451772266,61.8856021088114,27.307612436840223,0.8658894135541464,34.577989671971174
43,5,2.131998858731373,1.2654025284035582,61.8856021088114,27.161258390997425,0.8665963303278148,34.72434371781397
44,5,2.131998858731373,1.2654347785939193,61.8856021088114,27.21078960056836,0.8665640801374537,34.674812508243036
45,5,2.131998858731373,1.2662708093371942,61.8856021088114,27.46752832059776,0.8657280493941788,34.41807378821363
46,5,2.131998858731373,1.2656087592430678,61.8856021088114,27.13288406889801,0.8663900994883051,34.75271803991339
42,6,3.815479951707133,2.2011825500986237,84.96278681305891,38.76371977733782,1.6142974016085092,46.19906703572109
43,6,3.815479951707133,2.196036182919475,84.96278681305891,38.66002760206281,1.619443768787658,46.3027592109961
44,6,3.815479951707133,2.1943567484204496,84.96278681305891,38.53398575077599,1.6211232032866834,46.42880106228292
45,6,3.815479951707133,2.2231003912794254,84.96278681305891,39.35988423093608,1.5923795604277076,45.60290258212283
46,6,3.815479951707133,2.207242239251041,84.96278681305891,38.68435465805313,1.6082377124560918,46.27843215500578
42,7,3.9269467883379496,2.247607280540088,86.73399859186463,39.07633417806103,1.6793395077978617,47.6576644138036
43,7,3.9269467883379496,2.245825235769276,86.73399859186463,39.07055635352305,1.6811215525686736,47.66344223834158
44,7,3.9269467883379496,2.2404948430057288,86.73399859186463,38.86637005792564,1.6864519453322209,47.86762853393899
45,7,3.9269467883379496,2.266139144622673,86.73399859186463,39.70887486677186,1.6608076437152768,47.025123725092776
46,7,3.9269467883379496,2.2581556593311336,86.73399859186463,39.26630913314733,1.668791129006816,47.4676894587173
42,8,3.567048385868448,2.0144928832152367,82.70772067041719,35.97296235647661,1.5525555026532114,46.73475831394058
43,8,3.567048385868448,2.011971765022071,82.70772067041719,35.834795075655606,1.555076620846377,46.87292559476158
44,8,3.567048385868448,2.0107881092914264,82.70772067041719,35.83789282472814,1.5562602765770217,46.86982784568905
45,8,3.567048385868448,2.0163033257834475,82.70772067041719,36.14439986454394,1.5507450600850006,46.563320805873246
46,8,3.567048385868448,2.0108981662744325,82.70772067041719,35.67245181030208,1.5561502195940156,47.03526886011511
42,9,3.729906842457878,2.1126324308537683,84.06770724420802,36.39918975891441,1.6172744116041096,47.66851748529361
43,9,3.729906842457878,2.109460453275355,84.06770724420802,36.30312619104156,1.620446389182523,47.76458105316647
44,9,3.729906842457878,2.1076172637675685,84.06770724420802,36.25231798002443,1.6222895786903093,47.815389264183594
45,9,3.729906842457878,2.1139596710788164,84.06770724420802,36.60201165951987,1.6159471713790614,47.465695584688156
46,9,3.729906842457878,2.1084635253342467,84.06770724420802,36.116648480801054,1.621443317123631,47.95105876340697
42,10,3.7167200380988703,2.116671638572742,83.42002098601499,36.12902130479613,1.6000483995261283,47.29099968121886
43,10,3.7167200380988703,2.1120759212258027,83.42002098601499,35.90682404075447,1.6046441168730676,47.51319694526052
44,10,3.7167200380988703,2.1129159562299904,83.42002098601499,35.938908658540065,1.60380408186888,47.481112327474925
45,10,3.7167200380988703,2.11647287280768,83.42002098601499,36.31583570945288,1.6002471652911905,47.10418527656211
46,10,3.7167200380988703,2.110662097163013,83.42002098601499,35.698955840020304,1.6060579409358575,47.721065145994686
42,11,2.689490673664046,1.567589794484971,70.3070311360323,30.513494122422,1.121900879179075,39.79353701361029
43,11,2.689490673664046,1.566824562407987,70.3070311360323,30.417065406578796,1.122666111256059,39.88996572945349
44,11,2.689490673664046,1.5669240639891833,70.3070311360323,30.52611441398391,1.1225666096748628,39.78091672204839
45,11,2.689490673664046,1.5677192190182492,70.3070311360323,30.67334579639187,1.1217714546457969,39.63368533964042
46,11,2.689490673664046,1.5668417760142248,70.3070311360323,30.357461620289403,1.1226488976498212,39.949569515742894
42,12,2.191167574427917,1.2871561629241663,63.43078329258268,28.06234678691964,0.9040114115037505,35.36843650566304
43,12,2.191167574427917,1.2865550581151013,63.43078329258268,27.975370315268957,0.9046125163128156,35.45541297731373
44,12,2.191167574427917,1.2866367938566896,63.43078329258268,28.05943007932944,0.9045307805712273,35.37135321325324
45,12,2.191167574427917,1.2873924401465122,63.43078329258268,28.25543147534014,0.9037751342814047,35.17535181724254
46,12,2.191167574427917,1.2867323505183932,63.43078329258268,27.94185110300243,0.9044352239095237,35.488932189580254
42,13,4.054928906848204,2.3778429305665383,87.86853505725017,41.67280385531618,1.6770859762816657,46.19573120193399
43,13,4.054928906848204,2.376684387000591,87.86853505725017,41.62460604750843,1.6782445198476128,46.24392900974174
44,13,4.054928906848204,2.3705955972186827,87.86853505725017,41.32370054116886,1.6843333096295212,46.54483451608131
45,13,4.054928906848204,2.457446320298005,87.86853505725017,43.76166488177379,1.597482586550199,44.10687017547638
46,13,4.054928906848204,2.415485065544108,87.86853505725017,42.418519055745215,1.6394438413040961,45.450016001504956
42,14,4.274431970436753,2.54946692726251,90.18156098631272,44.55560945122149,1.724965043174243,45.625951535091225
43,14,4.274431970436753,2.5653252455440034,90.18156098631272,45.261178422342766,1.7091067248927496,44.92038256396995
44,14,4.274431970436753,2.5376804527816725,90.18156098631272,44.2304738167236,1.7367515176550805,45.951087169589115
45,14,4.274431970436753,2.635595582733674,90.18156098631272,46.596792439554086,1.638836387703079,43.58476854675863
46,14,4.274431970436753,2.615788819614514,90.18156098631272,46.16867354398735,1.6586431508222392,44.012887442325365
42,15,4.348820881755739,2.654766443925999,90.99677605620047,46.66154404485739,1.6940544378297404,44.33523201134308
43,15,4.348820881755739,2.666234846813172,90.99677605620047,47.17651393655972,1.6825860349425676,43.82026211964075
44,15,4.348820881755739,2.6439943126780734,90.99677605620047,46.37247776248301,1.704826569077666,44.624298293717466
45,15,4.348820881755739,2.7580177471581138,90.99677605620047,48.65693933417516,1.5908031345976257,42.33983672202531
46,15,4.348820881755739,2.722728165915069,90.99677605620047,48.038414872081376,1.6260927158406706,42.9583611841191
42,16,4.321679435732996,2.628688560669389,90.58276253196894,45.91810992173812,1.692990875063607,44.66465261023082
43,16,4.321679435732996,2.6360620106898587,90.58276253196894,46.28089440822127,1.6856174250431373,44.30186812374767
44,16,4.321679435732996,2.614160621804436,90.58276253196894,45.53493091927961,1.70751881392856,45.04783161268933
45,16,4.321679435732996,2.725535700367076,90.58276253196894,47.8936720764841,1.5961437353659198,42.68909045548484
46,16,4.321679435732996,2.6796556406612115,90.58276253196894,47.02605004229501,1.6420237950717844,43.55671248967393
42,17,3.736777157696609,2.111462789158175,84.56105225942385,36.59310431896122,1.625314368538434,47.96794794046263
43,17,3.736777157696609,2.1076001157099893,84.56105225942385,36.4512846407869,1.6291770419866198,48.109767618636944
44,17,3.736777157696609,2.107111563761801,84.56105225942385,36.42253709187567,1.6296655939348081,48.13851516754818
45,17,3.736777157696609,2.112041555826296,84.56105225942385,36.757461350334005,1.624735601870313,47.80359090908984
46,17,3.736777157696609,2.106602840468774,84.56105225942385,36.25098842638523,1.630174317227835,48.31006383303862
42,18,2.692116917654916,1.5670884726729106,70.68244415028943,30.636982861273204,1.1250284449820054,40.045461289016224
43,18,2.692116917654916,1.566177055362822,70.68244415028943,30.49674761094184,1.125939862292094,40.18569653934759
44,18,2.692116917654916,1.5664094761283467,70.68244415028943,30.636576351351827,1.1257074415265693,40.0458677989376
45,18,2.692116917654916,1.5671706250033623,70.68244415028943,30.788939430722817,1.1249462926515537,39.89350471956661
46,18,2.692116917654916,1.5663059208244683,70.68244415028943,30.46793366354815,1.1258109968304477,40.214510486741275
42,19,2.218144458628018,1.3092474922641049,63.5298717869755,27.87892108565625,0.908896966363913,35.650950701319246
43,19,2.218144458628018,1.3085715523426174,63.5298717869755,27.750766228418343,0.9095729062854006,35.779105558557156
44,19,2.218144458628018,1.30873152980401,63.5298717869755,27.85045786929291,0.9094129288240078,35.67941391768259
45,19,2.218144458628018,1.3094672159511382,63.5298717869755,28.057193448195928,0.9086772426768797,35.47267833877957
46,19,2.218144458628018,1.3087347344798093,63.5298717869755,27.71251897915447,0.9094097241482086,35.817352807821024
42,20,3.897197929106614,2.228275684045887,85.21371236082673,37.85239884283391,1.668922245060727,47.361313517992826
43,20,3.897197929106614,2.222747528389524,85.21371236082673,37.69506842134251,1.67445040071709,47.51864393948422
44,20,3.897197929106614,2.2215295064154024,85.21371236082673,37.54568474184109,1.6756684226912117,47.66802761898564
45,20,3.897197929106614,2.2485408391743418,85.21371236082673,38.74589588072286,1.6486570899322723,46.46781648010387
46,20,3.897197929106614,2.231834565647055,85.21371236082673,37.91485776328648,1.665363363459559,47.298854597540256
42,21,3.968364115339296,2.267376616545306,86.74002764708635,38.72478366067261,1.7009874987939901,48.01524398641374
43,21,3.968364115339296,2.2609764282910483,86.74002764708635,38.44502784256167,1.7073876870482478,48.29499980452468
44,21,3.968364115339296,2.265580966672284,86.74002764708635,38.50980189259808,1.7027831486670122,48.23022575448827
45,21,3.968364115339296,2.2957490162006566,86.74002764708635,39.74797555613318,1.6726150991386395,46.99205209095317
46,21,3.968364115339296,2.27129653518274,86.74002764708635,38.518584175568776,1.6970675801565562,48.221443471517574
42,22,3.893953203926704,2.242987623595384,86.69685095565688,39.65745956809005,1.6509655803313201,47.03939138756684
43,22,3.893953203926704,2.242409306436817,86.69685095565688,39.7548992441854,1.651543897489887,46.94195171147148
44,22,3.893953203926704,2.236607899412946,86.69685095565688,39.54737667483543,1.657345304513758,47.14947428082146
45,22,3.893953203926704,2.268939439921604,86.69685095565688,40.38858052624511,1.6250137640051001,46.30827042941178
46,22,3.893953203926704,2.255691845437378,86.69685095565688,39.93681153882391,1.6382613584893262,46.760039416832974
42,23,3.76856663180013,2.131541719526769,84.8680371735598,37.085450746528366,1.6370249122733607,47.78258642703143
43,23,3.76856663180013,2.129056217306148,84.8680371735598,37.03992400695495,1.6395104144939818,47.82811316660485
44,23,3.76856663180013,2.1258203109256675,84.8680371735598,36.907513754348805,1.6427463208744624,47.96052341921099
45,23,3.76856663180013,2.1354323204664944,84.8680371735598,37.34019518260894,1.6331343113336354,47.52784199095086
46,23,3.76856663180013,2.1294461791588963,84.8680371735598,36.90047067223841,1.6391204526412335,47.967566501321386
42,24,3.5177077062331485,1.9886964503092592,81.7656159506763,35.26119343341106,1.5290112559238893,46.50442251726525
43,24,3.5177077062331485,1.986542841222692,81.7656159506763,35.18795021062164,1.5311648650104566,46.57766574005466
44,24,3.5177077062331485,1.9859747615223575,81.7656159506763,35.23986951158342,1.531732944710791,46.525746439092885
45,24,3.5177077062331485,1.9890957195486243,81.7656159506763,35.47083447346553,1.5286119866845242,46.294781477210776
46,24,3.5177077062331485,1.9857386745141428,81.7656159506763,35.0673469167591,1.5319690317190058,46.69826903391721
42,25,2.4986222282932418,1.4533222462121291,68.18043040899474,29.72616184780379,1.0452999820811126,38.45426856119094
43,25,2.4986222282932418,1.4526126254451692,68.18043040899474,29.61471953721265,1.0460096028480725,38.56571087178209
44,25,2.4986222282932418,1.4527499261954708,68.18043040899474,29.738958399634463,1.045872302097771,38.441472009360275
45,25,2.4986222282932418,1.45363054052518,68.18043040899474,29.92594062832869,1.0449916877680618,38.25448978066605
46,25,2.4986222282932418,1.452752508386832,68.18043040899474,29.568121217667528,1.0458697199064098,38.61230919132721
42,26,2.18016870705397,1.2869538546175587,63.06614892518976,27.761854680554155,0.8932148524364114,35.3042942446356
43,26,2.18016870705397,1.2863505298371742,63.06614892518976,27.644710958839017,0.8938181772167959,35.42143796635074
44,26,2.18016870705397,1.2864603096807803,63.06614892518976,27.7362693457389,0.8937083973731899,35.32987957945086
45,26,2.18016870705397,1.287202542717378,63.06614892518976,27.94621896613236,0.892966164336592,35.1199299590574
46,26,2.18016870705397,1.286531673554526,63.06614892518976,27.618409099433546,0.8936370334994441,35.447739825756216
42,27,3.879160487664591,2.233956020078035,85.43411613558284,39.02986347507177,1.6452044675865563,46.40425266051107
43,27,3.879160487664591,2.229879698347676,85.43411613558284,38.98268080260949,1.649280789316915,46.451435332973354
44,27,3.879160487664591,2.2260522054814857,85.43411613558284,38.71136629696621,1.6531082821831053,46.72274983861663
45,27,3.879160487664591,2.262791371036738,85.43411613558284,39.98125259437949,1.6163691166278529,45.45286354120335
46,27,3.879160487664591,2.246445994518812,85.43411613558284,39.232715959931,1.6327144931457789,46.20140017565184
42,28,3.692708184675111,2.0774711768430545,84.78747962342189,37.07399081855003,1.6152370078320564,47.71348880487186
43,28,3.692708184675111,2.0770043169936394,84.78747962342189,37.12124234798783,1.6157038676814715,47.66623727543406
44,28,3.692708184675111,2.0734105584794253,84.78747962342189,37.03921873079975,1.6192976261956855,47.748260892622135
