seed,evaluated_shift_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu,event_rate
42,340,7,0,1.4434470210857,0.944885955186253,1.0230807183281154,0.020588235294117647
43,340,7,0,1.4430555920783692,0.9448879962386304,1.0229126416195522,0.020588235294117647
44,340,9,0,1.4421973580546823,0.9435037192544791,1.0229997276476153,0.026470588235294117
45,340,8,0,1.4476718782688331,0.942819231347807,1.023957339717115,0.023529411764705882
46,340,10,0,1.4441801010551507,0.9448812931741366,1.0236098126155702,0.029411764705882353
