episode,total_step,group_id,theta_pv,theta_svc,theta_cap,line_loss_mwh,violation_steps,event_day,pf_fail_steps
0,96,2,0.7060208916664124,1.2471929788589478,0.3046552836894989,2.275619450646958,16,1,0
1,192,7,1.3723082542419434,1.1825200319290161,0.5921692252159119,3.379560206058437,27,1,0
2,288,5,1.3670679330825806,0.952776312828064,0.7827057838439941,3.2899996992261196,34,1,0
3,384,1,0.9988033771514893,0.8287992477416992,0.7026103138923645,2.134262846841997,24,1,0
4,480,3,0.9702596664428711,1.1904834508895874,0.9153904318809509,2.7453563675433372,28,1,0
5,576,0,1.03285813331604,0.8800110816955566,0.33132967352867126,2.2822931826843402,20,1,0
6,672,6,1.485233187675476,1.4269357919692993,0.2929218113422394,4.077039535740958,35,1,0
7,768,4,1.436456561088562,0.8730066418647766,0.208247572183609,3.565096616391836,41,1,0
8,864,2,0.9568731188774109,1.1483315229415894,0.33577266335487366,2.333305457293577,19,1,0
9,960,5,1.2110861539840698,0.7555481791496277,0.7976258993148804,2.7230947707845483,34,1,0
10,1056,1,0.9778454303741455,0.8207682371139526,0.6872192621231079,2.1271833736548578,24,1,0
11,1152,6,1.1382523775100708,1.214935064315796,0.30913639068603516,2.94017730471885,28,1,0
12,1248,7,1.1707285642623901,1.3114326000213623,0.7210329174995422,3.1484331493698146,32,1,0
13,1344,3,0.7391071319580078,1.1120222806930542,0.9085433483123779,1.9682908824626428,9,1,0
14,1440,0,0.8083361983299255,1.0656917095184326,0.011052112095057964,2.1112176409726002,20,1,0
15,1536,4,1.2950468063354492,1.01239812374115,0.03808979317545891,3.326867164425873,36,1,0
16,1632,2,0.7429501414299011,1.4663677215576172,0.43095362186431885,2.6475542142382262,14,1,0
17,1728,6,1.1169546842575073,1.456749677658081,0.14320747554302216,3.2836185221718814,29,1,0
18,1824,3,1.0886528491973877,1.1989933252334595,0.9849675893783569,3.044289797128658,27,1,0
19,1920,4,1.286217212677002,0.9771928191184998,0.40512993931770325,3.0751356914273855,35,1,0
20,2016,0,0.8762863874435425,0.9347819685935974,0.11453752964735031,2.1075554994372423,22,1,0
21,2112,7,1.3086658716201782,1.4378154277801514,0.6315125823020935,3.764156107783494,34,1,0
22,2208,5,1.2847223281860352,0.724457859992981,0.8663421869277954,2.5614021057974976,26,1,0
23,2304,1,0.7832460999488831,0.721668541431427,0.9959050416946411,1.4694283197228046,8,1,0
