epoch,training_mse,validation_mse
1,0.0020274519548090825,0.00020612830121535808
2,9.979630737879508e-05,5.431901809060946e-05
3,4.1440738810748836e-05,2.8259761165827513e-05
4,3.077000664509183e-05,3.528766319504939e-05
5,3.0399372367672946e-05,2.0676417989307083e-05
6,2.6639853363016048e-05,4.024831287097186e-05
7,2.6915783183899612e-05,1.933374733198434e-05
8,2.6306736249670244e-05,3.6437584640225396e-05
9,2.8096577659388734e-05,2.1504360120161436e-05
10,2.45312903643935e-05,1.9979337594122626e-05
11,2.3662472305532413e-05,1.9231700207456015e-05
12,2.6576842258712764e-05,1.6370369849028066e-05
13,2.4015059120016347e-05,1.5455219909199513e-05
14,2.4524501599824913e-05,1.7430016669095494e-05
15,2.473587214491238e-05,3.445794209255837e-05
16,2.343686618016448e-05,2.0201990992063656e-05
17,2.7672092771755944e-05,4.5269345719134435e-05
18,2.3676300305280248e-05,1.6667810996295884e-05
19,2.028923545578944e-05,1.5698522474849597e-05
20,2.159176926588136e-05,1.4667446521343663e-05
21,2.0398320250320085e-05,1.353233074041782e-05
22,2.427905288049112e-05,2.945538653875701e-05
23,2.1370595510064916e-05,1.3487098840414546e-05
24,1.978532947210032e-05,2.331680298084393e-05
25,1.9308832507217737e-05,1.5847490431042388e-05
26,1.8119402569894636e-05,2.3502789190388285e-05
27,2.6182588657701313e-05,1.479399907111656e-05
28,1.870250119726163e-05,1.1757868378481362e-05
29,1.8672921214601956e-05,1.1773621736210771e-05
30,1.8076098587148727e-05,3.598252442316152e-05
31,2.4893841560527974e-05,2.1328054572222754e-05
32,2.191224089179995e-05,1.1724434443749487e-05
33,1.6588978512519917e-05,1.1500377695483621e-05
34,2.1551354557443627e-05,1.6940050045377575e-05
35,1.9097881387245063e-05,2.0841402147198096e-05
36,1.8578933926365544e-05,9.938140465237666e-06
37,1.7442652913518413e-05,1.4304414435173385e-05
38,1.7297436622970435e-05,1.0675028534024023e-05
39,1.5389074580398722e-05,1.1401686606404837e-05
40,1.6933285414145143e-05,1.2020050235150848e-05
41,1.7681026039035927e-05,1.0685565030144062e-05
42,1.704868226053889e-05,1.092851107387105e-05
43,1.7376892533637907e-05,1.3143944670446217e-05
44,1.6623597138129488e-05,1.8758923033601604e-05
45,1.7300634522672584e-05,1.1153209925396368e-05
46,1.8469581275069706e-05,1.640680420678109e-05
47,1.7402246030965322e-05,1.0273050065734424e-05
48,1.7200964743266056e-05,1.4738147001480684e-05
49,1.662011326579675e-05,9.452817721467e-06
50,1.5527401321674534e-05,8.707043889444321e-06
51,1.5467971712327155e-05,9.213173143507447e-06
52,1.908778314066504e-05,9.441117981623393e-06
53,1.851000258263179e-05,9.275239790440537e-06
54,1.5382710803668338e-05,1.00810766525683e-05
55,1.5357992387455238e-05,9.432696970179677e-06
56,1.4326536233437404e-05,9.505710295343306e-06
57,1.3604772479887943e-05,1.6119685824378394e-05
58,1.5797044630575285e-05,1.053579671861371e-05
59,1.658904907238794e-05,9.075750313058961e-06
60,1.7662358808339314e-05,9.053943358594552e-06
61,1.724030406939862e-05,1.5363903003162704e-05
62,1.732757222228873e-05,2.2048112441552803e-05
63,1.639456932448517e-05,8.80985135154333e-06
64,1.344670525128983e-05,9.106660399993416e-06
65,1.442292248315806e-05,1.1603992788877804e-05
66,1.613732898519185e-05,2.1473277229233645e-05
67,1.6813186258057317e-05,8.342515684489626e-06
68,1.6112925190692444e-05,1.734170291456394e-05
69,1.617235830053687e-05,7.733830898359884e-06
70,1.3210276012064559e-05,8.584326678828802e-06
71,1.3971557363283653e-05,1.063606032403186e-05
72,1.3950663626103982e-05,7.561325219285209e-06
73,1.2939682820551963e-05,7.775021003908478e-06
74,1.3781914255327307e-05,7.59247996029444e-06
75,1.3641500033351571e-05,6.311601282504853e-06
76,1.3710381883652719e-05,6.585862138308585e-06
77,1.390847392242502e-05,6.72849137117737e-06
78,1.1774284578064528e-05,8.775774404057302e-06
79,1.545176608191849e-05,6.151289198896848e-06
80,1.2386803159325757e-05,6.34972002444556e-06
81,1.1617866326813846e-05,8.039874956011772e-06
82,1.1586209290916761e-05,1.178560432890663e-05
83,1.5002137546997441e-05,9.403361218573991e-06
84,1.1718213817254955e-05,6.283379661908839e-06
85,1.3055007615929393e-05,6.025853508617729e-06
86,1.3015961961405823e-05,9.017955562740099e-06
87,1.7612637230042818e-05,1.8687565898289904e-05
88,1.2543785006464743e-05,5.511166364158271e-06
89,1.1806524864453444e-05,5.808713467558846e-06
90,1.0727953215178406e-05,5.835185220348649e-06
91,1.1193318641744554e-05,6.232376108528115e-06
92,1.2723953278869293e-05,8.153477210726123e-06
93,1.3559972822529449e-05,6.665140517725376e-06
94,1.0665319149306607e-05,6.685161224595504e-06
95,1.2389541542117598e-05,5.934594810241833e-06
96,1.3717529105464523e-05,4.589281161315739e-06
97,1.4083408026382068e-05,5.688016699423315e-06
98,1.2082472928108642e-05,7.021554210950853e-06
99,1.297648127230025e-05,5.484561370394658e-06
100,1.3759338682660222e-05,1.1194083526788745e-05
101,1.340810415989159e-05,5.198938197281677e-06
102,1.1503437605803578e-05,6.573130576725816e-06
103,1.0796606771733887e-05,7.113941137504298e-06
104,1.1204605904589867e-05,5.7609395298641175e-06
105,1.1930275493711612e-05,1.595226967765484e-05
106,1.56837923621128e-05,7.990711310412735e-06
107,1.1327559404044012e-05,5.465790309244767e-06
108,1.0584326626189448e-05,1.2473840797611047e-05
109,1.1497393230921832e-05,7.1919598667591345e-06
110,1.1256388873778971e-05,5.502025487658102e-06
111,1.2044663012496786e-05,7.501297204726143e-06
112,1.363550982628218e-05,8.081337909970898e-06
113,1.0965576420012229e-05,4.7764360715518706e-06
114,9.841364370131064e-06,6.971180937398458e-06
115,1.111664699047376e-05,5.445930582936853e-06
116,1.0845159517144608e-05,4.092266863153782e-06
117,1.2231981420268841e-05,1.5437201000167988e-05
118,1.2933706160723422e-05,4.202365289529553e-06
119,1.1583993084989975e-05,1.1662422366498504e-05
120,1.3737220035901098e-05,7.418587301799562e-06
121,1.2359192846075571e-05,6.776238933525747e-06
122,1.0965613878503317e-05,7.007090971455909e-06
123,1.0505286449780362e-05,4.59361126559088e-06
124,1.1002058547388135e-05,5.931998202868272e-06
125,1.1649809018075926e-05,7.029630978649948e-06
126,1.1648634506136025e-05,4.945226464769803e-06
127,1.1249380942138296e-05,1.4729476788488682e-05
128,1.199260623252485e-05,5.389768830355024e-06
