level,candidates,days,mismatch_replicates,episodes,event_rate,cluster_bootstrap_95_low,cluster_bootstrap_95_high,mean_intervention_rate,projection_failure_steps,worst_actual_vmin,worst_actual_vmax
none,3,17,1,51,0.0,,,0.0,0,0.9522938045562828,1.018884420026322
mild,3,17,20,1020,0.0,0.0,0.0,0.0,0,0.9504779322791468,1.0199289716487885
design,3,17,20,1020,0.004901960784313725,0.00196078431372549,0.008823529411764706,0.0,0,0.9486146905439784,1.020964627295088
moderate,3,17,20,1020,0.026470588235294117,0.016666666666666666,0.03627450980392157,0.001205065359477124,5,0.9435137097673028,1.0508695610461092
topology_a,3,17,1,51,0.058823529411764705,,,0.0,0,0.9470082741013244,1.0339333692590804
topology_b,3,17,1,51,0.0,,,0.0,0,0.9524630669468538,1.0156648730392777
design_topology_a,3,17,20,1020,0.08529411764705883,0.07450980392156863,0.09607843137254904,0.0,0,0.943024756944905,1.0372790858619685
