candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,path_fraction,robust_feasible,display_role,highlight
0,0.0,0.0,0.0,0.8691361575574951,0.9006458975361188,0.0024652777777777,0,0.9505000002619868,1.036468500720416,0.9433702870249968,1.036468500720416,0.7,0.7,0.0,optimiser_candidate,70.0,,1,Optimiser candidate,Minimum resource
1,0.0,0.0,0.0,0.8865134889335698,0.9252006801027473,0.0012152777777777,0,0.950500000380266,1.036699655943779,0.944527466974263,1.036699655943779,0.7,0.7421052631578947,0.0,optimiser_candidate,72.10526315789474,,1,Optimiser candidate,
2,0.0,0.0,0.0,0.9071180993618778,0.9535934978664984,0.0006423611111111,0,0.9505000004260892,1.036921208430188,0.9456779521074544,1.036921208430188,0.7,0.7842105263157895,0.0,optimiser_candidate,74.21052631578948,,1,Optimiser candidate,
20,0.0,0.0,0.0,0.8766879295615375,0.9045022939724624,0.0022916666666666,0,0.950500000288139,1.035609207682312,0.9436152036893696,1.035609207682312,0.7421052631578947,0.7,0.0,optimiser_candidate,72.10526315789474,,1,Optimiser candidate,
21,0.0,0.0,0.0,0.894472929196275,0.9293796058101538,0.0010937499999999,0,0.9505000003199884,1.035831119404224,0.9447752034856988,1.035831119404224,0.7421052631578947,0.7421052631578947,0.0,optimiser_candidate,74.21052631578947,,1,Optimiser candidate,
40,0.0,0.0,0.0,0.8853055815596148,0.908855598991166,0.0018749999999999,0,0.9505000003503368,1.0347558131319488,0.9438649400980302,1.0347558131319488,0.7842105263157895,0.7,0.0,optimiser_candidate,74.21052631578948,,1,Optimiser candidate,
400,0.0,0.0,0.0,0.8649174140176786,0.899069543065012,0.0011805555555555,0,0.95050000019883,1.0372177698308878,0.9445635345493674,1.0372177698308878,0.7,0.7,0.25,optimiser_candidate,70.5,,1,Optimiser candidate,Pareto alternative
401,0.0,0.0,0.0,0.8854509447928526,0.926571548534373,0.0005729166666666,0,0.9505000003117348,1.037426973880977,0.9457326930060318,1.037426973880977,0.7,0.7421052631578947,0.25,optimiser_candidate,72.60526315789474,,1,Optimiser candidate,
420,0.0,0.0,0.0,0.8737510527281859,0.904286004992731,0.0009895833333333,0,0.9505000003335417,1.0362250984861163,0.944796381689242,1.0362250984861163,0.7421052631578947,0.7,0.25,optimiser_candidate,72.60526315789474,,1,Optimiser candidate,
421,0.0,0.0,0.0,0.8946412767471612,0.9320337187025446,0.0005034722222222,0,0.950500000397338,1.0364192789461983,0.9459659878802238,1.0364192789461983,0.7421052631578947,0.7421052631578947,0.25,optimiser_candidate,74.71052631578947,,1,Optimiser candidate,
