panel,candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,mean_daily_loss_mwh,resource_index,delta_loss_mwh,delta_intervention,best_loss_mwh,comparator_loss_mwh,saving_pct,best_pv_scale,best_svc_scale,best_cap_mvar,comparator_pv_scale,comparator_svc_scale,comparator_cap_mvar
a_refine_cap0_loss,0.0,0.7,0.7,0.0,0.871469179913312,70.0,,,,,,,,,,,
a_refine_cap0_loss,1.0,0.7,0.7421052631578947,0.0,0.8888181395143198,72.10526315789474,,,,,,,,,,,
a_refine_cap0_loss,2.0,0.7,0.7842105263157895,0.0,0.9093833372579871,74.21052631578948,,,,,,,,,,,
a_refine_cap0_loss,3.0,0.7,0.8263157894736841,0.0,0.9331387408985782,76.3157894736842,,,,,,,,,,,
a_refine_cap0_loss,4.0,0.7,0.8684210526315789,0.0,0.9600319166047844,78.42105263157895,,,,,,,,,,,
a_refine_cap0_loss,5.0,0.7,0.9105263157894736,0.0,0.9900064326633696,80.52631578947368,,,,,,,,,,,
a_refine_cap0_loss,6.0,0.7,0.9526315789473684,0.0,1.0230073398228636,82.63157894736841,,,,,,,,,,,
a_refine_cap0_loss,7.0,0.7,0.9947368421052633,0.0,1.0589928397097124,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,8.0,0.7,1.0368421052631578,0.0,1.0979139667473838,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,9.0,0.7,1.0789473684210529,0.0,1.1397431556499733,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,10.0,0.7,1.1210526315789473,0.0,1.184489847956362,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,20.0,0.7421052631578947,0.7,0.0,0.879053571359968,72.10526315789474,,,,,,,,,,,
a_refine_cap0_loss,21.0,0.7421052631578947,0.7421052631578947,0.0,0.8968088739703436,74.21052631578947,,,,,,,,,,,
a_refine_cap0_loss,22.0,0.7421052631578947,0.7842105263157895,0.0,0.9177915408958128,76.3157894736842,,,,,,,,,,,
a_refine_cap0_loss,23.0,0.7421052631578947,0.8263157894736841,0.0,0.941959325747076,78.42105263157893,,,,,,,,,,,
a_refine_cap0_loss,24.0,0.7421052631578947,0.8684210526315789,0.0,0.9692435656760492,80.52631578947367,,,,,,,,,,,
a_refine_cap0_loss,25.0,0.7421052631578947,0.9105263157894736,0.0,0.9995754807533356,82.63157894736841,,,,,,,,,,,
a_refine_cap0_loss,26.0,0.7421052631578947,0.9526315789473684,0.0,1.0329149279710854,84.73684210526315,,,,,,,,,,,
