candidate_id,worst_seed_risk_raw,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh_raw,maximum_seed_loss_mwh,mean_intervention_rate_raw,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,path_fraction,resource_index,robust_feasible,worst_seed_risk_projected,mean_intervention_rate_projected,mean_daily_loss_mwh_projected
2000,0.275,0.1583333333333333,0.0,0.8692245346996866,0.9006577403832872,0.0,0,0.9433702870249968,1.036468500720416,0.9433702870249968,1.036468500720416,0.7,0.7,0.0,risk_path,0.0,70.0,0,0.0,0.0024652777777777,0.8691361575574951
2001,0.105,0.0549999999999999,0.0,0.8975999639045947,0.9339424207701548,0.0,0,0.9453380931828914,1.0358879739396654,0.9453380931828914,1.0358879739396654,0.75,0.75,0.0625,risk_path,0.0625,75.125,0,0.0,0.0007291666666666,0.8975893293154771
2002,0.03,0.015,0.0,0.9373998099747002,0.978048787665658,0.0,0,0.9473062373408766,1.0351078164666894,0.9473062373408766,1.0351078164666894,0.7999999999999999,0.7999999999999999,0.125,risk_path,0.125,80.25,0,0.0,0.0002083333333333,0.9374004926736484
2003,0.01,0.0033333333333333,0.0,0.9877641372147874,1.031988625569555,0.0,0,0.9491704540989714,1.0342369398030855,0.9491704540989714,1.0342369398030855,0.85,0.85,0.1875,risk_path,0.1875,85.375,1,0.0,8.680555555555499e-05,0.9877642998328912
2004,0.0,0.0,0.0,1.0477781804005033,1.0949883404042111,0.0,0,0.950830264495522,1.0330933062150929,0.950830264495522,1.0330933062150929,0.8999999999999999,0.8999999999999999,0.25,risk_path,0.25,90.5,1,0.0,0.0,1.0477781804005033
2005,0.0,0.0,0.0,1.1168796826311531,1.1665242929623487,0.0,0,0.9525086769820212,1.0318492729692696,0.9525086769820212,1.0318492729692696,0.95,0.95,0.3125,risk_path,0.3125,95.625,1,0.0,0.0,1.1168796826311531
2006,0.0,0.0,0.0,1.1944167192512545,1.2460078328751056,0.0,0,0.954177061253898,1.0305240199158874,0.954177061253898,1.0305240199158874,1.0,1.0,0.375,risk_path,0.375,100.75,1,0.0,0.0,1.1944167192512545
2007,0.0,0.0,0.0,1.279735669414985,1.332884402009973,0.0,0,0.9557937161241068,1.02911589251748,0.9557937161241068,1.02911589251748,1.05,1.05,0.4375,risk_path,0.4375,105.875,1,0.0,0.0,1.279735669414985
2008,0.0,0.0,0.0,1.3725204617529456,1.4270562192747334,0.0,0,0.9574029612257772,1.0293477003552456,0.9574029612257772,1.0293477003552456,1.1,1.1,0.5,risk_path,0.5,111.0,1,0.0,0.0,1.3725204617529456
2009,0.0,0.0,0.0,1.4722356355541464,1.5284190875991266,0.0,0,0.9589784445836004,1.031084465678258,0.9589784445836004,1.031084465678258,1.15,1.15,0.5625,risk_path,0.5625,116.125,1,0.0,0.0,1.4722356355541464
2010,0.0,0.0,0.0,1.5785004867256454,1.6390902869566926,0.0,0,0.9605127689731516,1.0327858851320335,0.9605127689731516,1.0327858851320335,1.2,1.2,0.625,risk_path,0.625,121.25,1,0.0,0.0,1.5785004867256454
2011,0.0,0.0,0.0,1.6910951896387598,1.7592795140784394,0.0,0,0.9620015064480134,1.034461446163044,0.9620015064480134,1.034461446163044,1.25,1.25,0.6875,risk_path,0.6875,126.375,1,0.0,0.0,1.6910951896387598
2012,0.0,0.0,0.0,1.809819061537283,1.884597844576954,0.0,0,0.9634416742508548,1.0360872005193795,0.9634416742508548,1.0360872005193795,1.3,1.3,0.75,risk_path,0.75,131.5,1,0.0,0.0,1.809819061537283
2013,0.0,0.0,0.0,1.9343195078187791,2.014964307464985,0.0,0,0.9648362962657384,1.03770330486009,0.9648362962657384,1.03770330486009,1.35,1.35,0.8125,risk_path,0.8125,136.625,1,0.0,0.0,1.9343195078187791
2014,0.0,0.0,0.0,2.064347651514899,2.150470308726929,0.0,0,0.9662140644000956,1.039312978526556,0.9662140644000956,1.039312978526556,1.4,1.4,0.875,risk_path,0.875,141.75,1,0.0,0.0,2.064347651514899
2015,0.0,0.0,0.0,2.199933391656342,2.2914915198227903,0.0,0,0.9675481940790152,1.0408944113575618,0.9675481940790152,1.0408944113575618,1.45,1.45,0.9375,risk_path,0.9375,146.875,1,0.0,0.0,2.199933391656342
2016,0.0,0.0,0.0,2.34138231083422,2.4387078608390893,0.0,0,0.968668389400991,1.0424626419194367,0.968668389400991,1.0424626419194367,1.5,1.5,1.0,risk_path,1.0,152.0,1,0.0,0.0,2.34138231083422
