episode,method,rolling_mean,seed_min,seed_max,seed_42,seed_43,seed_44
64,WG-CVaR-PPO,-9.719534052142714,-9.905123689852925,-9.502899686394027,-9.502899686394027,-9.75057878018119,-9.905123689852925
65,WG-CVaR-PPO,-9.614693899307392,-9.672336099147396,-9.553433270313612,-9.553433270313612,-9.61831232846117,-9.672336099147396
66,WG-CVaR-PPO,-9.613841736038742,-9.712103086030684,-9.430098103224141,-9.712103086030684,-9.699324018861402,-9.430098103224141
67,WG-CVaR-PPO,-9.557545218352264,-9.78745748784501,-9.396000637730225,-9.396000637730225,-9.78745748784501,-9.489177529481555
68,WG-CVaR-PPO,-9.561238037503209,-9.726687624985013,-9.316755898575943,-9.316755898575943,-9.726687624985013,-9.640270588948672
69,WG-CVaR-PPO,-9.631413683520728,-9.858914103032458,-9.425172294813303,-9.425172294813303,-9.858914103032458,-9.610154652716423
70,WG-CVaR-PPO,-9.722910801926332,-9.929457841580597,-9.613212716545476,-9.626061847652922,-9.929457841580597,-9.613212716545476
71,WG-CVaR-PPO,-9.657882285949656,-9.832593157166595,-9.50267303937484,-9.50267303937484,-9.832593157166595,-9.638380661307535
72,WG-CVaR-PPO,-9.528077860140039,-9.63583644547439,-9.439472155042331,-9.439472155042331,-9.63583644547439,-9.508924979903394
73,WG-CVaR-PPO,-9.441762944032046,-9.721725429309467,-9.170207845826697,-9.170207845826697,-9.721725429309467,-9.433355556959974
74,WG-CVaR-PPO,-9.359466247850628,-9.57035909202587,-9.185773554858212,-9.185773554858212,-9.57035909202587,-9.322266096667802
75,WG-CVaR-PPO,-9.373528132631792,-9.485292914976181,-9.258658269851656,-9.258658269851656,-9.485292914976181,-9.376633213067542
76,WG-CVaR-PPO,-9.371335235889568,-9.48608053412141,-9.165244528684918,-9.165244528684918,-9.48608053412141,-9.462680644862374
77,WG-CVaR-PPO,-9.410389240992759,-9.514977256850962,-9.347132339891909,-9.347132339891909,-9.514977256850962,-9.369058126235409
78,WG-CVaR-PPO,-9.406953575899292,-9.506214382088114,-9.281177545676677,-9.433468799933085,-9.506214382088114,-9.281177545676677
79,WG-CVaR-PPO,-9.419570108625594,-9.728397959038595,-9.24619483129367,-9.24619483129367,-9.728397959038595,-9.284117535544514
80,WG-CVaR-PPO,-9.366259510753322,-9.657744624304925,-9.21412115637278,-9.21412115637278,-9.657744624304925,-9.22691275158226
81,WG-CVaR-PPO,-9.245094933893705,-9.517924974777163,-9.072066269608582,-9.145293557295373,-9.517924974777163,-9.072066269608582
82,WG-CVaR-PPO,-9.340010816580916,-9.731475856562707,-9.140046487608398,-9.148510105571646,-9.731475856562707,-9.140046487608398
83,WG-CVaR-PPO,-9.379935460321635,-9.881367511360146,-9.04003827662595,-9.21840059297881,-9.881367511360146,-9.04003827662595
84,WG-CVaR-PPO,-9.44098047983214,-9.995467579261115,-8.964093575158582,-9.363380285076722,-9.995467579261115,-8.964093575158582
85,WG-CVaR-PPO,-9.34192495470978,-9.783663152881282,-8.779668056816217,-9.462443654431844,-9.783663152881282,-8.779668056816217
86,WG-CVaR-PPO,-9.250949585236407,-9.57777973992932,-8.702197448219975,-9.472871567559926,-9.57777973992932,-8.702197448219975
87,WG-CVaR-PPO,-9.198174453892875,-9.594302290828345,-8.557670924976641,-9.442550145873637,-9.594302290828345,-8.557670924976641
88,WG-CVaR-PPO,-9.102650968112346,-9.49334140506128,-8.596665872231267,-9.217945627044493,-9.49334140506128,-8.596665872231267
89,WG-CVaR-PPO,-9.136171922785346,-9.46286054477027,-8.605041432079378,-9.340613791506389,-9.46286054477027,-8.605041432079378
90,WG-CVaR-PPO,-9.271157872420858,-9.504320982359223,-8.874394181124574,-9.43475845377878,-9.504320982359223,-8.874394181124574
91,WG-CVaR-PPO,-9.219212120759854,-9.437374130107305,-8.9158418935541,-9.304420338618156,-9.437374130107305,-8.9158418935541
92,WG-CVaR-PPO,-9.206170424166054,-9.443802862008972,-8.82742680380694,-9.347281606682248,-9.443802862008972,-8.82742680380694
93,WG-CVaR-PPO,-9.06712222417741,-9.285489112068056,-8.706553974058238,-9.285489112068056,-9.209323586405935,-8.706553974058238
94,WG-CVaR-PPO,-8.938023985537468,-9.060890483420152,-8.696938417755971,-9.060890483420152,-9.056243055436276,-8.696938417755971
95,WG-CVaR-PPO,-8.822770584366488,-8.971583747707545,-8.579513581855563,-8.917214423536354,-8.971583747707545,-8.579513581855563
96,WG-CVaR-PPO,-8.892435457689542,-9.184081570651207,-8.431245094967714,-9.184081570651207,-9.061979707449703,-8.431245094967714
97,WG-CVaR-PPO,-8.98558348839253,-9.325082136125959,-8.560178218857075,-9.325082136125959,-9.071490110194558,-8.560178218857075
98,WG-CVaR-PPO,-8.934185374579814,-9.43827361979059,-8.408479974467527,-9.43827361979059,-8.955802529481327,-8.408479974467527
99,WG-CVaR-PPO,-8.909172297870057,-9.514884827890551,-8.295231778305832,-9.514884827890551,-8.917400287413791,-8.295231778305832
100,WG-CVaR-PPO,-8.806190037460356,-9.191460012920729,-8.325165199436139,-9.191460012920729,-8.9019449000242,-8.325165199436139
101,WG-CVaR-PPO,-8.855381731176669,-9.392874996787647,-8.230202762195049,-9.392874996787647,-8.943067434547311,-8.230202762195049
102,WG-CVaR-PPO,-8.88248427662653,-9.349572763914903,-8.241224906105112,-9.349572763914903,-9.056655159859579,-8.241224906105112
103,WG-CVaR-PPO,-8.888738609759443,-9.217419624328365,-8.248554810549855,-9.217419624328365,-9.20024139440011,-8.248554810549855
104,WG-CVaR-PPO,-8.972235131945979,-9.393138285164063,-8.47085513356223,-9.393138285164063,-9.052711977111644,-8.47085513356223
105,WG-CVaR-PPO,-9.039580229881674,-9.563527619116094,-8.4987596906206,-9.563527619116094,-9.056453379908325,-8.4987596906206
106,WG-CVaR-PPO,-9.138563591396837,-9.68321086824529,-8.586851104910005,-9.68321086824529,-9.145628801035212,-8.586851104910005
107,WG-CVaR-PPO,-9.187826407116901,-9.730471392744796,-8.720073422184745,-9.730471392744796,-9.11293440642116,-8.720073422184745
108,WG-CVaR-PPO,-9.087553364630852,-9.684846910334551,-8.594629147608257,-9.684846910334551,-8.983184035949746,-8.594629147608257
109,WG-CVaR-PPO,-8.931937670613253,-9.42667094769916,-8.663323191888576,-9.42667094769916,-8.705818872252022,-8.663323191888576
110,WG-CVaR-PPO,-8.989482911663478,-9.427912514909684,-8.759677484621397,-9.427912514909684,-8.780858735459349,-8.759677484621397
111,WG-CVaR-PPO,-8.863693161827271,-9.289335734364562,-8.576776666531009,-9.289335734364562,-8.724967084586241,-8.576776666531009
112,WG-CVaR-PPO,-8.776249522833531,-9.086610238251371,-8.499232545114227,-9.086610238251371,-8.742905785134997,-8.499232545114227
113,WG-CVaR-PPO,-8.744219607241073,-9.161798075141009,-8.438018396449637,-9.161798075141009,-8.632842350132574,-8.438018396449637
114,WG-CVaR-PPO,-8.584924582882302,-8.924924595609472,-8.302464926005907,-8.924924595609472,-8.527384227031526,-8.302464926005907
115,WG-CVaR-PPO,-8.462773588944493,-8.656509537978067,-8.09146150759023,-8.640349721265185,-8.656509537978067,-8.09146150759023
116,WG-CVaR-PPO,-8.426259257540712,-8.701196807981876,-8.027077503227567,-8.701196807981876,-8.55050346141269,-8.027077503227567
117,WG-CVaR-PPO,-8.474571630167963,-8.87112975315079,-7.970513978663022,-8.87112975315079,-8.58207115869008,-7.970513978663022
118,WG-CVaR-PPO,-8.537427934407983,-8.90751743899313,-8.089088509012651,-8.90751743899313,-8.615677855218168,-8.089088509012651
119,WG-CVaR-PPO,-8.579050194243075,-9.070853613854228,-8.12256972489071,-9.070853613854228,-8.543727243984288,-8.12256972489071
120,WG-CVaR-PPO,-8.624740388543211,-9.02368203813125,-8.123959790509447,-9.02368203813125,-8.726579336988939,-8.123959790509447
121,WG-CVaR-PPO,-8.550792738429427,-8.753335104348979,-8.278489771771584,-8.753335104348979,-8.620553339167717,-8.278489771771584
122,WG-CVaR-PPO,-8.529250838248574,-8.763403855101771,-8.221153132724949,-8.763403855101771,-8.603195526919002,-8.221153132724949
123,WG-CVaR-PPO,-8.451392902226193,-8.642862746380167,-8.092501439970839,-8.642862746380167,-8.618814520327572,-8.092501439970839
124,WG-CVaR-PPO,-8.532724277142469,-8.774500203276652,-8.13612018474736,-8.774500203276652,-8.687552443403389,-8.13612018474736
125,WG-CVaR-PPO,-8.570937960535836,-8.820770914876642,-8.080724069301896,-8.81131889742897,-8.820770914876642,-8.080724069301896
126,WG-CVaR-PPO,-8.513266807729366,-8.744685172928216,-8.05175434825604,-8.744685172928216,-8.743360902003841,-8.05175434825604
127,WG-CVaR-PPO,-8.49282009814218,-8.646248009587682,-8.26781641544288,-8.646248009587682,-8.564395869395979,-8.26781641544288
128,WG-CVaR-PPO,-8.44136671802392,-8.703844845773611,-8.250898794929832,-8.703844845773611,-8.369356513368317,-8.250898794929832
129,WG-CVaR-PPO,-8.292654986382564,-8.481269151279257,-8.056787884260563,-8.481269151279257,-8.339907923607868,-8.056787884260563
130,WG-CVaR-PPO,-8.259751179851898,-8.398881376869388,-8.072711964251296,-8.398881376869388,-8.307660198435011,-8.072711964251296
131,WG-CVaR-PPO,-8.176046055599109,-8.28986330372923,-8.091647342710623,-8.146627520357471,-8.28986330372923,-8.091647342710623
132,WG-CVaR-PPO,-8.113113735730986,-8.243952683741048,-7.982613944257956,-8.243952683741048,-8.112774579193953,-7.982613944257956
133,WG-CVaR-PPO,-8.13011059669334,-8.326100317340583,-8.009054185895364,-8.326100317340583,-8.055177286844073,-8.009054185895364
134,WG-CVaR-PPO,-8.178272496037975,-8.485003287981522,-7.922952569367737,-8.485003287981522,-8.126861630764667,-7.922952569367737
135,WG-CVaR-PPO,-8.092917356762854,-8.29687146909746,-7.9495452491964205,-8.29687146909746,-8.03233535199468,-7.9495452491964205
136,WG-CVaR-PPO,-8.103764245653254,-8.212166829661395,-7.984445271702156,-8.212166829661395,-8.114680635596208,-7.984445271702156
