variant,seed,finite_difference_step,margin_pu,max_iterations,episodes_csv,jobs,projected,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,actor_mean_ms,projection_mean_ms,execution_mean_ms,balance_audit_mean_ms,online_path_mean_ms,completed_steps,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar,jobs_csv
centre,43,0.02,0.0005,3,data\results\opsd_secondary_evaluations\projection_sensitivity_final\centre\episodes.csv,51,True,0.058823529411764705,0.0,1.9789794225598345,0.03717320261437908,104,182,499,7391,192,197,0.29360559640771694,12.146283251637465,18.551656413394703,1.1692897671303821,30.991545261439885,4896,0.9490403153281317,1.0460693509683716,9.995984425609228e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
fd001,43,0.01,0.0005,3,data\results\opsd_secondary_evaluations\projection_sensitivity_final\fd001\episodes.csv,51,True,0.058823529411764705,0.0,1.9788414168734503,0.03717320261437908,102,182,522,7506,192,197,0.27460849672803495,11.312319587398104,16.961897222179783,1.0609106617813546,28.548825306305922,4896,0.9490098790419415,1.0459964571246785,9.995996225198311e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
fd004,43,0.04,0.0005,3,data\results\opsd_secondary_evaluations\projection_sensitivity_final\fd004\episodes.csv,51,True,0.058823529411764705,0.0,1.978534214847081,0.03717320261437908,104,182,456,7176,192,197,0.2853476511402322,11.482498754111136,18.124146017198594,1.134700714818393,29.891992422449963,4896,0.9490910982722792,1.0461117702914695,9.995137827643885e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
margin001,43,0.02,0.001,3,data\results\opsd_secondary_evaluations\projection_sensitivity_final\margin001\episodes.csv,51,True,0.058823529411764705,0.0,1.9823349681538793,0.03880718954248366,106,190,515,7471,106,201,0.2581546773265419,10.608442932973013,16.173707128296478,1.0212051879192752,27.04030473859603,4896,0.9496191085764911,1.0468734653672616,9.995137827643885e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
margin002,43,0.02,0.002,3,data\results\opsd_secondary_evaluations\projection_sensitivity_final\margin002\episodes.csv,51,True,0.0,0.0,1.9902109845921376,0.04125816993464052,122,202,557,7681,36,221,0.2578316584909843,10.279857189519378,15.333170935444025,0.9726373774977225,25.87085978345439,4896,0.9505913778110173,1.047945450551503,9.995137827643885e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
iterations2,43,0.02,0.0005,2,data\results\opsd_secondary_evaluations\projection_sensitivity_final\iterations2\episodes.csv,51,True,0.058823529411764705,0.0,1.9785805558462193,0.03717320261437908,158,182,341,6601,192,197,0.26033850090273225,9.050634191206662,15.870519485259946,0.9981709151162291,25.18149217736934,4896,0.9490073491449035,1.046046906288431,9.997457698501799e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
iterations5,43,0.02,0.0005,5,data\results\opsd_secondary_evaluations\projection_sensitivity_final\iterations5\episodes.csv,51,True,0.058823529411764705,0.0,1.978975999508018,0.03717320261437908,102,182,707,8431,192,197,0.2885479370725317,13.067406883184209,17.696875204315873,1.1040295138125396,31.052830024572614,4896,0.9490403153281317,1.046046215181326,9.995981181676328e-08,9.98565448384614e-08,data\results\opsd_final_representative_selection_jobs\jobs.csv
