method,action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
pilot_droop,0.35,0.94,0.97,1.03,1.06,40,27,0,2.5398642309517623,0.929516291574231,1.0280758425351586
pilot_droop,0.4,0.94,0.97,1.03,1.06,40,27,0,2.606505242096312,0.929516291574231,1.0280758425351586
pilot_droop,0.3,0.94,0.98,1.02,1.06,40,27,0,2.6136254806031047,0.929516291574231,1.035009381873212
pilot_droop,0.25,0.95,0.98,1.02,1.05,40,27,0,2.6931159265201434,0.929516291574231,1.0359766436829543
pilot_droop,0.5,0.94,0.97,1.03,1.06,40,27,0,2.708492026198273,0.929516291574231,1.029055027541677
pilot_droop,0.35,0.94,0.98,1.02,1.06,40,27,0,2.727757819472305,0.929516291574231,1.0359766436829543
pilot_droop,0.25,0.95,0.99,1.01,1.05,40,27,0,2.7886409235726175,0.929516291574231,1.04137965521997
pilot_droop,0.6,0.94,0.97,1.03,1.06,40,27,0,2.795556603751113,0.929516291574231,1.0325623448322765
pilot_droop,0.4,0.94,0.98,1.02,1.06,40,27,0,2.816547238095531,0.929516291574231,1.0377622757102274
pilot_droop,0.3,0.95,0.98,1.02,1.05,40,27,0,2.816547238095531,0.929516291574231,1.0377622757102274
pilot_droop,0.35,0.95,0.98,1.02,1.05,40,27,0,2.904108190126629,0.929516291574231,1.0389388151407386
pilot_droop,0.8,0.94,0.97,1.03,1.06,40,27,0,2.9137128293193904,0.929516291574231,1.0413424190494742
pilot_droop,0.3,0.95,0.99,1.01,1.05,40,27,0,2.934428544842415,0.929516291574231,1.0433589479945695
pilot_droop,0.5,0.94,0.98,1.02,1.06,40,27,0,2.9374339806014556,0.929516291574231,1.03936789267746
pilot_droop,1.0,0.94,0.97,1.03,1.06,40,27,0,2.959927863352889,0.929516291574231,1.042469524177563
pilot_droop,0.4,0.95,0.98,1.02,1.05,40,27,0,2.964906066398143,0.929516291574231,1.0399063134911601
pilot_droop,0.6,0.94,0.98,1.02,1.06,40,27,0,3.0053199790624405,0.929516291574231,1.0411445625910773
pilot_droop,0.35,0.95,0.99,1.01,1.05,40,27,0,3.0214147941349503,0.929516291574231,1.0448227027799404
pilot_droop,0.5,0.95,0.98,1.02,1.05,40,27,0,3.0315006528159616,0.929516291574231,1.04137965521997
pilot_droop,0.8,0.94,0.98,1.02,1.06,40,27,0,3.0603821711689236,0.929516291574231,1.042938319429343
pilot_droop,0.6,0.95,0.98,1.02,1.05,40,27,0,3.0603821711689236,0.929516291574231,1.042938319429343
pilot_droop,0.4,0.95,0.99,1.01,1.05,40,27,0,3.063066014070651,0.929516291574231,1.0449853471228274
pilot_droop,1.0,0.94,0.98,1.02,1.06,40,27,0,3.083501936665976,0.929516291574231,1.0448227027799404
pilot_droop,0.8,0.95,0.98,1.02,1.05,40,27,0,3.0872021620785626,0.929516291574231,1.0449853471228274
pilot_droop,0.5,0.95,0.99,1.01,1.05,40,27,0,3.0936259444460275,0.929516291574231,1.0449853471228274
pilot_droop,1.0,0.95,0.98,1.02,1.05,40,27,0,3.0954135504407327,0.929516291574231,1.0449853471228274
pilot_droop,0.6,0.95,0.99,1.01,1.05,40,27,0,3.099363332878319,0.929516291574231,1.0449853471228274
pilot_droop,0.8,0.95,0.99,1.01,1.05,40,27,0,3.0993969838980058,0.929516291574231,1.0449853471228274
pilot_droop,1.0,0.95,0.99,1.01,1.05,40,27,0,3.0993969838980058,0.929516291574231,1.0449853471228274
pilot_droop,0.2,0.95,0.98,1.02,1.05,40,31,0,2.4236228154532187,0.9284311074795263,1.0335681905745309
pilot_droop,0.3,0.94,0.97,1.03,1.06,40,31,0,2.4539939908105493,0.929516291574231,1.026832962555043
pilot_droop,0.25,0.94,0.98,1.02,1.06,40,31,0,2.458267143156017,0.929516291574231,1.0335681905745309
pilot_droop,0.2,0.95,0.99,1.01,1.05,40,31,0,2.4788663573633594,0.9284311074795263,1.03936789267746
pilot_droop,0.15,0.95,0.98,1.02,1.05,40,33,0,2.0887037400059048,0.9261465878486078,1.0317401460333324
pilot_droop,0.15,0.95,0.99,1.01,1.05,40,33,0,2.111689833814996,0.9261465878486078,1.0359766436829543
pilot_droop,0.2,0.94,0.98,1.02,1.06,40,33,0,2.215147154789332,0.9284311074795263,1.0317401460333324
pilot_droop,0.25,0.94,0.97,1.03,1.06,40,33,0,2.335629864910028,0.929516291574231,1.0256616252193476
pilot_droop,0.1,0.94,0.98,1.02,1.06,40,34,0,1.892075894529843,0.9237001433900013,1.0270672960124825
pilot_droop,0.1,0.94,0.97,1.03,1.06,40,34,0,1.8974932039949386,0.9237001433900013,1.021391716515697
pilot_droop,0.1,0.95,0.98,1.02,1.05,40,34,0,1.907579757770972,0.9237001433900013,1.0286879765532855
pilot_droop,0.1,0.95,0.99,1.01,1.05,40,34,0,1.9116997994567715,0.9237001433900013,1.0324672966768347
pilot_droop,0.15,0.94,0.97,1.03,1.06,40,34,0,1.9753168998110304,0.9261465878486078,1.0221773951231345
pilot_droop,0.15,0.94,0.98,1.02,1.06,40,34,0,1.9961183581192998,0.9261465878486078,1.0294513574793902
pilot_droop,0.2,0.94,0.97,1.03,1.06,40,34,0,2.1488326696821156,0.9284311074795263,1.0235966851002853
