capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar,evaluated_seed_days,all_seeds_zero_events,total_event_days,maximum_seed_event_days,mean_seed_loss_mwh,worst_vmin,worst_vmax
P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,50,False,40,8,2.16296499500211,0.932844489496349,1.0218620627336608
P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,50,False,30,6,2.503146037804349,0.9357857455226989,1.037349703897152
P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,50,False,5,1,1.666465380560829,0.9477218466811611,1.009608682831769
P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,50,True,0,0,1.4405369098830711,0.9504938734569331,1.0091999617011926
P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,50,True,0,0,1.4395693605130788,0.9506153957876909,1.0092047883174604
P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,50,True,0,0,1.43905532015965,0.9507121973236263,1.009213404153881
P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,50,True,0,0,1.4389759652719536,0.9507496318450241,1.00921183042035
P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,50,True,0,0,1.4389573105883045,0.9507255542124907,1.009209253628156
P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,50,True,0,0,1.438988432460117,0.9507360439932395,1.009208306511018
