candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,solve_total_seconds,inherited_steps,direct_fallback_steps
0,0,4,384,0.225,0.0,0.0,1,0,0,1,1.4379150168962032,0.9500000007666634,1.0076822010146964,22.130671199964127,0,0
1,0,4,384,0.3,0.0,0.0,0,0,0,0,1.842774435341268,0.9500000058157018,1.0093579034907634,24.7176776000706,28,0
2,0,4,384,0.3,0.1875,0.0,0,0,0,0,1.3508955475766844,0.9528831681225945,1.0002433594245446,24.26687959989067,0,0
3,0,4,384,0.3,0.375,0.0,0,0,0,0,1.3123628930496818,0.9574412219055827,1.0002032334999242,23.87906870007282,0,0
4,0,4,384,0.45,0.375,0.0,0,0,0,0,1.3116539346606881,0.9559001527384249,1.0001965815516853,23.98765109994565,36,0
5,0,4,384,0.45,0.5625,0.0,0,0,0,0,1.3107603712007976,0.9558584325948444,1.0001986591805045,24.071066100063035,40,0
6,0,4,384,0.45,0.75,0.0,0,0,0,0,1.3107274402586557,0.9559056180797254,1.0001984329970683,23.970479499956127,41,0
7,0,4,384,0.6,0.75,0.0,0,0,0,0,1.3107653340398355,0.9558738131765345,1.0001982054925618,24.19057299999986,37,0
8,0,4,384,0.75,0.75,0.0,0,0,0,0,1.3107980097914753,0.9558738131765345,1.0001998779451777,24.226992700016126,38,0
0,1,38,3648,0.225,0.0,0.0,1,0,0,1,0.6195836273199308,0.9500000007788687,1.0070625724503175,7.149926000070991,0,0
1,1,38,3648,0.3,0.0,0.0,1,0,0,1,0.8352441303867577,0.9500000017447207,1.0184142293613496,8.179159599996638,3,0
2,1,38,3648,0.3,0.1875,0.0,0,0,0,0,2.7343906817386237,0.9500000010726745,1.0014599843110301,24.272644999990007,0,0
3,1,38,3648,0.3,0.375,0.0,0,0,0,0,2.1241615836574717,0.9501861885255641,1.0001759968499924,24.63004090002505,0,0
4,1,38,3648,0.45,0.375,0.0,0,0,0,0,2.121439260037289,0.9501582152182168,1.0001484206935773,24.657938500109594,44,0
5,1,38,3648,0.45,0.5625,0.0,0,0,0,0,2.121233211639841,0.9501582152182168,1.0001343880610027,23.801238899934106,67,0
6,1,38,3648,0.45,0.75,0.0,0,0,0,0,2.121073243785615,0.9501582152182168,1.0001353025585116,23.83619530001306,66,0
7,1,38,3648,0.6,0.75,0.0,0,0,0,0,2.1211657870878855,0.9501582152182168,1.0001365265644395,24.031486800173298,72,0
8,1,38,3648,0.75,0.75,0.0,0,0,0,0,2.1212289309491124,0.9501582152182168,1.0001386701905803,23.879104699823074,78,0
0,2,77,7392,0.225,0.0,0.0,1,0,0,1,0.5636627144314776,0.9500000027460699,1.0026769005517708,6.191289600072196,0,0
1,2,77,7392,0.3,0.0,0.0,1,0,0,1,0.7662148285431596,0.9500000042377758,1.0093724291541153,7.034918000048492,5,0
2,2,77,7392,0.3,0.1875,0.0,1,0,0,1,2.2082627465341385,0.950000000710863,1.0058107229281663,23.014020799892023,0,0
3,2,77,7392,0.3,0.375,0.0,0,0,0,0,2.0073386907062627,0.9500650848935643,1.004554638032893,24.884110199986026,0,0
4,2,77,7392,0.45,0.375,0.0,0,0,0,0,2.0064652663234988,0.9500519018959802,1.0045545595060268,24.462834999867482,58,0
5,2,77,7392,0.45,0.5625,0.0,0,0,0,0,2.006015887194858,0.9500519018959802,1.0045559709787104,24.29657150004641,62,0
6,2,77,7392,0.45,0.75,0.0,0,0,0,0,2.005746065940087,0.9500519018959802,1.0045541545169647,24.0743451997987,61,0
7,2,77,7392,0.6,0.75,0.0,0,0,0,0,2.0057131128416006,0.9500519018959802,1.004552185120587,23.942152400006307,61,0
8,2,77,7392,0.75,0.75,0.0,0,0,0,0,2.0056156060210726,0.9500519018959802,1.0045529002069074,24.27104630001122,59,0
0,3,85,8160,0.225,0.0,0.0,1,0,0,1,0.551826741958754,0.950000000538138,0.9999999999998602,7.379869100055657,0,0
1,3,85,8160,0.3,0.0,0.0,1,1,0,1,0.7137306232337464,0.9499995570467038,1.0082212988895423,8.185873599955812,12,0
2,3,85,8160,0.3,0.1875,0.0,0,0,0,0,2.308614145573887,0.9500000030784287,1.0004891921301702,24.367718299938133,0,0
3,3,85,8160,0.3,0.375,0.0,0,0,0,0,1.9837549195297783,0.9512996770398557,1.0000000000044305,24.665496699948562,0,0
4,3,85,8160,0.45,0.375,0.0,0,0,0,0,1.9802541783763916,0.9512669445144643,1.000000000002421,23.801204800081905,51,0
5,3,85,8160,0.45,0.5625,0.0,0,0,0,0,1.979769519180962,0.9512669445144643,1.0000000000018336,24.25706229984644,60,0
6,3,85,8160,0.45,0.75,0.0,0,0,0,0,1.9797682651182738,0.9512669445144643,1.0000000000014706,23.89456230009091,60,0
7,3,85,8160,0.6,0.75,0.0,0,0,0,0,1.9799009178808027,0.9512669445144643,1.0000000000011748,23.958012299990514,66,0
8,3,85,8160,0.75,0.75,0.0,0,0,0,0,1.980028230759476,0.9512669445144643,1.0000000000007383,24.05378990006284,74,0
0,4,105,10080,0.225,0.0,0.0,1,0,0,1,1.2375680039959573,0.9500000024993721,1.0162059427903198,18.262404499808326,0,0
1,4,105,10080,0.3,0.0,0.0,1,1,0,1,1.6063766860503819,0.9499994161474187,1.0215016520440672,20.41623519998393,23,0
2,4,105,10080,0.3,0.1875,0.0,0,0,0,0,1.4411956141836801,0.9516015531949096,1.0151363726472413,24.12295160003123,0,0
3,4,105,10080,0.3,0.375,0.0,0,0,0,0,1.3702255385077022,0.954668483685996,1.0143983593307326,23.511606299842242,0,0
4,4,105,10080,0.45,0.375,0.0,0,0,0,0,1.3696009269112834,0.9546360137373154,1.0143966083538307,23.150511800078675,50,0
5,4,105,10080,0.45,0.5625,0.0,0,0,0,0,1.3683284178510176,0.9546360137373154,1.0143672906305023,23.81784390003304,23,0
6,4,105,10080,0.45,0.75,0.0,0,0,0,0,1.3683052350942535,0.9546360137373154,1.0143685810828829,23.71199859987246,25,0
7,4,105,10080,0.6,0.75,0.0,0,0,0,0,1.3683476874633815,0.9546360137373154,1.0143655455514187,24.024633300170535,29,0
8,4,105,10080,0.75,0.75,0.0,0,0,0,0,1.3683588497641268,0.9546360137373154,1.01437052941684,23.978934399754507,35,0
0,5,133,12768,0.225,0.0,0.0,1,0,0,1,0.7654187923987248,0.9500000021186291,1.0202345279933789,10.882602700177813,0,0
1,5,133,12768,0.3,0.0,0.0,1,1,0,1,1.9102497902862712,0.9499994289163135,1.0296444519912578,20.53457199994591,8,0
2,5,133,12768,0.3,0.1875,0.0,0,0,0,0,1.5036693326939838,0.950733433581307,1.0088799656334024,24.846017099975143,0,0
3,5,133,12768,0.3,0.375,0.0,0,0,0,0,1.4238822498110284,0.9552585291069503,1.0088152829624801,24.035981099965284,0,0
4,5,133,12768,0.45,0.375,0.0,0,0,0,0,1.4221426310548324,0.9552292871316684,1.0088254135243442,23.767260299937334,36,0
5,5,133,12768,0.45,0.5625,0.0,0,0,0,0,1.4213870062310305,0.9552292871316684,1.0088195725229612,23.969462100125384,30,0
6,5,133,12768,0.45,0.75,0.0,0,0,0,0,1.4213708698791487,0.9552292871316684,1.0088194828547563,23.554663599818014,31,0
7,5,133,12768,0.6,0.75,0.0,0,0,0,0,1.4214123395926395,0.9552292871316684,1.0088199696158215,23.78219129992067,33,0
8,5,133,12768,0.75,0.75,0.0,0,0,0,0,1.4214081296485146,0.9552292871316684,1.0088203205171382,23.781113500066567,29,0
0,6,137,13152,0.225,0.0,0.0,0,0,0,0,1.207037880615188,0.9524225145814191,1.0169453795004286,24.2508831002051,0,0
1,6,137,13152,0.3,0.0,0.0,0,0,0,0,1.2063506271618172,0.9523503448203553,1.016995868073742,23.876027400052408,20,0
2,6,137,13152,0.3,0.1875,0.0,0,0,0,0,0.9605653488089599,0.9630478076707735,1.0161366243135512,23.505327499995474,0,0
3,6,137,13152,0.3,0.375,0.0,0,0,0,0,0.9310911043557698,0.9635691141779188,1.0157117757108252,23.06106569993426,0,0
4,6,137,13152,0.45,0.375,0.0,0,0,0,0,0.9307898920762223,0.963557184646121,1.0157106823259128,23.569043800001964,21,0
5,6,137,13152,0.45,0.5625,0.0,0,0,0,0,0.9307495969689541,0.963557184646121,1.0158007915460643,24.17239590009558,24,0
6,6,137,13152,0.45,0.75,0.0,0,0,0,0,0.9307525939899189,0.963557184646121,1.0157780859293184,23.676224100025138,35,0
7,6,137,13152,0.6,0.75,0.0,0,0,0,0,0.9307437091669213,0.963557184646121,1.0157762554788818,23.484438499930548,34,0
8,6,137,13152,0.75,0.75,0.0,0,0,0,0,0.930754003695781,0.963557184646121,1.0157708159420609,23.751095699961297,31,0
0,7,147,14112,0.225,0.0,0.0,1,0,0,1,0.6060486662903166,0.9500000019515782,1.0000000000001055,8.790724400052568,0,0
1,7,147,14112,0.3,0.0,0.0,1,0,0,1,1.8892441217056646,0.9500000011089793,1.034823666422675,19.555754100118065,8,0
2,7,147,14112,0.3,0.1875,0.0,0,0,0,0,1.5485962391847616,0.9506499026608949,1.0109839652655241,24.5062753999664,0,0
3,7,147,14112,0.3,0.375,0.0,0,0,0,0,1.4593201270348288,0.9550487460173394,1.0104944536113292,24.490766399889253,0,0
4,7,147,14112,0.45,0.375,0.0,0,0,0,0,1.4575536485764877,0.9550191150614696,1.0105213156650668,24.30030020006234,38,0
5,7,147,14112,0.45,0.5625,0.0,0,0,0,0,1.4566904983952187,0.9550191150614696,1.0105131565316536,24.153259700047784,34,0
6,7,147,14112,0.45,0.75,0.0,0,0,0,0,1.4566506183031278,0.9550191150614696,1.0105129489929356,24.141912999766646,35,0
7,7,147,14112,0.6,0.75,0.0,0,0,0,0,1.4567211232002386,0.9550191150614696,1.010512935279334,24.133437200071057,42,0
8,7,147,14112,0.75,0.75,0.0,0,0,0,0,1.4567219565568628,0.9550191150614696,1.0105130980418484,23.96512670002994,38,0
0,8,159,15264,0.225,0.0,0.0,0,0,0,0,1.1054906937601028,0.9513689950117905,1.013779936319763,23.799791999947047,0,0
1,8,159,15264,0.3,0.0,0.0,0,0,0,0,1.1051163998481286,0.9513553748949117,1.0138232334026378,23.687528200011002,13,0
2,8,159,15264,0.3,0.1875,0.0,0,0,0,0,0.8763159365924128,0.9619597387764092,1.0129769502252346,23.479708600149024,0,0
3,8,159,15264,0.3,0.375,0.0,0,0,0,0,0.8540835115618952,0.9623050887718237,1.012631567425958,22.781759399891598,0,0
4,8,159,15264,0.45,0.375,0.0,0,0,0,0,0.8537631128760629,0.9622874914516927,1.0126289450710886,22.974320500041358,16,0
5,8,159,15264,0.45,0.5625,0.0,0,0,0,0,0.8537302783334212,0.9622874914516927,1.0126231573616156,22.881375999975717,46,0
6,8,159,15264,0.45,0.75,0.0,0,0,0,0,0.8536647633801202,0.9622874914516927,1.012696783472495,22.71476040018024,44,0
7,8,159,15264,0.6,0.75,0.0,0,0,0,0,0.8536391693269114,0.9622874914516927,1.012688282538419,22.93918269997812,34,0
8,8,159,15264,0.75,0.75,0.0,0,0,0,0,0.8536596650001733,0.9622874914516927,1.012677660402259,23.208341499906965,36,0
0,9,220,21120,0.225,0.0,0.0,1,0,0,1,1.3951011996320695,0.9500000008291557,1.0184024184901357,19.164347099955194,0,0
1,9,220,21120,0.3,0.0,0.0,1,1,0,1,1.8717973333084459,0.9499994392648091,1.026389166903043,22.825456999766175,22,0
2,9,220,21120,0.3,0.1875,0.0,0,0,0,0,1.3807246144519083,0.951526882451862,1.0068729573928823,23.897888200212037,0,0
3,9,220,21120,0.3,0.375,0.0,0,0,0,0,1.3147590692510756,0.9585720612611717,1.0068098673922437,23.853218699950958,0,0
4,9,220,21120,0.45,0.375,0.0,0,0,0,0,1.3143390430885924,0.9585284642219603,1.0068170582561797,23.717202699946938,40,0
5,9,220,21120,0.45,0.5625,0.0,0,0,0,0,1.3139023804780656,0.9580846447254917,1.0068154329265038,23.680329900002107,27,0
6,9,220,21120,0.45,0.75,0.0,0,0,0,0,1.313944394971948,0.9579989172407946,1.0068154752275582,23.762436999968486,38,0
7,9,220,21120,0.6,0.75,0.0,0,0,0,0,1.3139402123955766,0.958101180853194,1.0068154173708879,24.059718899865402,39,0
8,9,220,21120,0.75,0.75,0.0,0,0,0,0,1.3139506972643935,0.9581361417274086,1.0068160300008815,24.277288999961456,41,0
0,10,236,22656,0.225,0.0,0.0,0,0,0,0,1.0366394140067634,0.953138593820885,1.01956224331736,23.56489229988074,0,0
1,10,236,22656,0.3,0.0,0.0,0,0,0,0,1.0360632804247576,0.9529389172127182,1.0196158067923853,23.154577100009192,17,0
2,10,236,22656,0.3,0.1875,0.0,0,0,0,0,0.8290517301530176,0.9635117030714261,1.018758380271568,23.39446560011129,0,0
3,10,236,22656,0.3,0.375,0.0,0,0,0,0,0.8126615561209538,0.963435963401856,1.0184013073673397,23.06092500005616,0,0
4,10,236,22656,0.45,0.375,0.0,0,0,0,0,0.8121642797112087,0.9634235652504949,1.0184046809120295,22.763318199984496,28,0
5,10,236,22656,0.45,0.5625,0.0,0,0,0,0,0.8120215345436396,0.9634235652504949,1.018404369741142,22.847713500028476,28,0
6,10,236,22656,0.45,0.75,0.0,0,0,0,0,0.8120245600450916,0.9634235652504949,1.0183642370729846,23.006747300067218,44,0
7,10,236,22656,0.6,0.75,0.0,0,0,0,0,0.8120056294184549,0.9634235652504949,1.0184066892600352,23.10289149993332,37,0
8,10,236,22656,0.75,0.75,0.0,0,0,0,0,0.812006730482914,0.9634235652504949,1.018403294735484,23.21640499989735,37,0
0,11,241,23136,0.225,0.0,0.0,1,0,0,1,1.274261295527208,0.9500000006528748,1.0148828010949387,16.78078159998404,0,0
1,11,241,23136,0.3,0.0,0.0,1,1,0,1,2.1869489913805475,0.9499994925507836,1.0260486202274743,23.64145059979637,18,0
2,11,241,23136,0.3,0.1875,0.0,0,0,0,0,1.4506014630579604,0.9513871248783522,1.0036102065540446,24.600705099786865,0,0
3,11,241,23136,0.3,0.375,0.0,0,0,0,0,1.3847442892857043,0.9578248796713681,1.0035478138915304,24.08331019995967,0,0
4,11,241,23136,0.45,0.375,0.0,0,0,0,0,1.3844251319265442,0.9574391910352159,1.0035452390820736,24.435109699959867,38,0
5,11,241,23136,0.45,0.5625,0.0,0,0,0,0,1.3836296222979962,0.9571307414384169,1.0035435587774935,24.51368339988403,29,0
6,11,241,23136,0.45,0.75,0.0,0,0,0,0,1.3836416647659089,0.9570189389840604,1.0035443933848844,24.422662699973444,36,0
7,11,241,23136,0.6,0.75,0.0,0,0,0,0,1.3836312155976849,0.9571639225542319,1.0035437799368458,24.305311299976893,30,0
