candidate_id,scenario_index,step,time_index,solver,loss_mw,vmin,vmax,solve_ms,q_mvar_0,q_mvar_1,q_mvar_2,q_mvar_3,error
0,0,0,384,pandapower_ac_opf,0.058200525634218056,0.9557177011603339,0.9999999999999526,827.4210999952629,0.30842650871452765,0.0816643702356787,0.372307956431951,-3.016775480743907e-12,
1,0,0,384,pandapower_ac_opf,0.05811397246014833,0.9555199764971937,1.0000000000054354,263.1796000059694,0.2870550483282849,0.0811077651388252,0.36863589309694716,-2.7171429441852114e-11,
2,0,0,384,pandapower_ac_opf,0.04829634701429076,0.9653062936849632,1.0000000000020892,247.82729998696595,0.21528567553838002,0.07295948042361164,0.30416404686137793,0.3643211409424365,
3,0,0,384,pandapower_ac_opf,0.04769748720679621,0.966863689072053,1.000000000001173,232.57950000697747,0.22110376779739505,0.07024146113829,0.2814578057773366,0.5121872248976244,
4,0,0,384,pandapower_ac_opf,0.04758772564389915,0.9656490476196746,0.9999999999998309,246.07280001509935,0.19648375048491296,0.0701837263362269,0.28199000273255437,0.4990656059512643,
5,0,0,384,pandapower_ac_opf,0.047588454912622764,0.9658008342993016,0.9999999999998449,246.7915000161156,0.19900008555202886,0.07016697403889617,0.2817559174596001,0.5024063053929495,
6,0,0,384,pandapower_ac_opf,0.04758198745529068,0.965586577539426,0.9999999999998732,266.82509999955073,0.194671734488087,0.0701522447196222,0.28181514282822595,0.5006013982375419,
7,0,0,384,pandapower_ac_opf,0.047585589801658675,0.9656842161338792,0.9999999999998941,277.86750000086613,0.1966806501665878,0.07016206960897328,0.2818162478017185,0.5013979595545288,
8,0,0,384,pandapower_ac_opf,0.0475887209241055,0.9658284428417542,0.9999999999999049,245.1893000106793,0.1995052791745587,0.07016984604865274,0.28178109104926824,0.5027922604445398,
0,0,1,385,pandapower_ac_opf,0.056523718202524435,0.9563440460745396,1.000000000000142,263.068000000203,0.30255543662007267,0.08040944453153562,0.36627950069161896,-1.0134205617604697e-11,
1,0,1,385,pandapower_ac_opf,0.05644543801493165,0.9561459111245266,1.0000000000050324,250.28370000654832,0.28113664113589976,0.07989344066663298,0.36293724777251946,-2.9617300737385616e-11,
2,0,1,385,pandapower_ac_opf,0.046867551895903296,0.9657439024992459,1.000000000001781,281.06860001571476,0.20989846226312936,0.07181005607729088,0.2989525490777682,0.36418411029738007,
3,0,1,385,pandapower_ac_opf,0.0463157908984535,0.9671823253560279,1.0000000000012157,240.68599997553974,0.21478563630354416,0.06924896274624626,0.27760586738983123,0.5023055877461302,
4,0,1,385,pandapower_ac_opf,0.04623182752153557,0.9660915863707402,0.999999999999812,253.38680000277236,0.19261728770866585,0.06918652776572343,0.27796764293101894,0.49180652386299456,
5,0,1,385,pandapower_ac_opf,0.04623199900467715,0.9662404717821045,0.9999999999998421,250.78879998181947,0.19512087226138097,0.06917164687558863,0.2777486220753888,0.49493275037349677,
6,0,1,385,pandapower_ac_opf,0.04622684570573192,0.9660326458053728,0.9999999999998758,252.45910001103766,0.19092206361429365,0.06915715688187946,0.2778063265645347,0.49320928798853275,
7,0,1,385,pandapower_ac_opf,0.04622945549907226,0.9661214322404377,0.9999999999998959,264.8132999893278,0.1927464630648021,0.06916591938134391,0.2778066027434112,0.49391056116915977,
8,0,1,385,pandapower_ac_opf,0.04623066647823932,0.9662332137397269,0.9999999999999069,264.22169999568723,0.19493017508338428,0.0691704576715691,0.27777343957334005,0.4949370827330235,
0,0,2,386,pandapower_ac_opf,0.056053437328675945,0.9565217118966857,1.000000000000205,238.6728999845218,0.3009163569338076,0.08005715162857188,0.36459714688733913,-1.2151632793486861e-11,
1,0,2,386,pandapower_ac_opf,0.05597740309964708,0.9563234444501165,1.0000000000048799,257.8641999862157,0.27948337079898455,0.07955185077769053,0.36134223300758506,-3.0201107831358685e-11,
2,0,2,386,pandapower_ac_opf,0.046467248593801753,0.9658690901033994,1.0000000000017402,246.6022000007797,0.20840122676845607,0.07148484501160894,0.29747898341728507,0.36413846467564076,
3,0,2,386,pandapower_ac_opf,0.04592889066659042,0.9672722384055882,1.000000000001227,237.03059999388643,0.2130255701583754,0.06896732155292082,0.27650895095411526,0.4995753706524554,
4,0,2,386,pandapower_ac_opf,0.04585130208379369,0.9662169284641353,0.9999999999998086,248.14049998531118,0.19152131729589456,0.06890387718425384,0.2768279287193255,0.4897474430520934,
5,0,2,386,pandapower_ac_opf,0.04585134450735967,0.9663650213006896,0.9999999999998411,255.9086999972351,0.19402240081819755,0.06888959837872077,0.27661345902259904,0.49281416064865335,
6,0,2,386,pandapower_ac_opf,0.04584653354288289,0.9661590030401659,0.9999999999998767,250.65770000219345,0.18985962300771997,0.06887512592758921,0.2766705293496665,0.4911129846795004,
7,0,2,386,pandapower_ac_opf,0.04584891453920883,0.9662458090021286,0.9999999999998965,249.04419999802485,0.19164278748518554,0.06888366635760189,0.2766706210364288,0.4917932266592626,
