candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,evaluated_days,risk,mean_daily_loss_mwh,max_daily_loss_mwh,worst_vmin,worst_vmax,mean_solve_seconds,inherited_steps,direct_fallback_steps,loss_increase_from_previous_mwh
0,0.225,0.0,0.0,40,0.7,0.9788182199563599,1.7173845847389855,0.9500000006175702,1.022607735603666,13.715289720003057,0,0,
1,0.3,0.0,0.0,40,0.75,1.3009769990084084,2.0525524863862734,0.9499993713640589,1.0333919889815495,15.708709042507689,757,0,0.3221587790520485
2,0.3,0.1875,0.0,40,0.15,1.5345179221563419,2.6388968696999666,0.9500000005533544,1.023541954075177,20.803833714997744,2,0,0.2335409231479335
3,0.3,0.375,0.0,40,0.025,1.4665898200978855,2.3821677754298545,0.9500000081181122,1.0289211547147117,21.240550382522635,1,0,-0.06792810205845634
4,0.45,0.375,0.0,40,0.05,1.465904638579338,2.383248569103697,0.9499994069692443,1.0289211535392542,21.187228395014245,1748,0,-0.0006851815185475729
5,0.45,0.5625,0.0,40,0.025,1.4670864716935097,2.3628064287828026,0.9500000477788586,1.0289211535392542,21.29832147250345,1710,0,0.0011818331141717486
6,0.45,0.75,0.0,40,0.025,1.468856605175035,2.3638346097577654,0.9500016886088629,1.0289211535392542,21.060477817516947,1976,0,0.0017701334815252157
7,0.6,0.75,0.0,40,0.025,1.4750339484366464,2.3627633559328283,0.9500016886088629,1.0486373329595096,21.22951584501061,1973,0,0.0061773432616114565
8,0.75,0.75,0.0,40,0.025,1.4750374612951842,2.3629612711553687,0.9500016886088629,1.048637308607777,21.68205591750375,1868,0,3.5128585378352284e-06
